,first_name,last_name,flag_code,residence,birthplace,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,age
0,Ricardo,Acuna,CHI,"Jupiter, FL, USA","Santiago, Chile",1958-01-13,0.0,68.0,175.0,0,0,66.0
1,Sadiq,Abdullahi,NGR,0,0,1960-02-02,0.0,0.0,0.0,0,0,64.0
2,Nelson,Aerts,BRA,0,"Cachoeira Do Sul, Brazil",1963-04-25,0.0,75.0,188.0,0,0,61.0
3,Egan,Adams,USA,"Palmetto, FL, USA","Miami Beach, FL, USA",1959-06-15,0.0,73.0,178.0,0,0,65.0
4,Ronald,Agenor,USA,"Beverly Hills, California, USA","Rabat, Morocco",1964-11-13,1983.0,82.0,180.0,0,0,60.0
5,Juan,Aguilera,ESP,0,"Barcelona, Spain",1962-03-22,0.0,68.0,183.0,0,0,62.0
6,Marc,Albert,NED,0,0,,0.0,0.0,0.0,0,0,
7,Marco,Alciati,ITA,0,0,,0.0,0.0,0.0,0,0,
8,Richard,Akel,USA,0,"Little Rock, AR, USA",1962-02-12,0.0,0.0,0.0,0,0,62.0
9,John,Alexander,AUS,0,"Sydney, NSW, Australia",1951-07-04,0.0,82.0,191.0,0,0,73.0
10,Leighton,Alfred,GBR,0,"Wales, Great Britain",1962-08-27,0.0,73.0,180.0,0,0,62.0
11,Trevor,Allan,AUS,0,"Maidland, Australia",1955-08-17,0.0,77.0,178.0,0,0,69.0
12,Mehl,Ampon,USA,0,"Manila, Phillipines",1956-11-30,0.0,0.0,0.0,0,0,68.0
13,Christer,Allgardh,SWE,"Vasteras, Sweden","Boras, Sweden",1967-02-20,1983.0,77.0,191.0,0,0,57.0
14,Anand,Amritraj,IND,0,"Madras, India",1952-03-20,0.0,77.0,185.0,0,0,72.0
15,Vijay,Amritraj,IND,0,"Madras, India",1953-12-14,0.0,86.0,193.0,0,0,71.0
16,Juan Carlos,Andrade,ESP,0,0,1957-02-22,0.0,0.0,0.0,0,0,67.0
17,Andy,Andrews,USA,0,"Raleigh, NC, U.S.A.",1959-01-01,0.0,82.0,185.0,0,0,65.0
18,Matt,Anger,USA,"Clyde Hill, WA","Walnut Creek, CA",1963-06-20,1984.0,77.0,188.0,0,0,61.0
