,Nom_Complexe,Localisation,Code_Postal,Latitude,Longitude,Nombre_Terrains,Surface,Acces_Public
0,Mannibadar Tennis Reserve,Mannibadar,3360,-37.760717,143.497898,2,Asphalt, Yes
2,Cape Clear Recreation Reserve,Cape Clear,3351,-37.791818,143.611632,1,Asphalt, Yes
3,Haddon Recreation Reserve,Haddon,3351,-37.58812,143.722213,4,Asphalt, Yes
7,Ross Creek Recreation Reserve,Ross Creek,3351,-37.632091,143.758713,4,Plexipave, Yes
11,Napoleons Recreation Reserve,Napoleons,3352,-37.680147,143.825216,6,Plexipave, Yes
17,Grenville Recreation Reserve,Grenville,3351,-37.769056,143.884521,2,Asphalt, Yes
19,Woady Yaloak Recreation Reserve,Smythesdale,3351,-37.64181,143.683965,4,Asphalt/Plexipave, Yes
23,Linton Recreation Reserve,Linton,3360,-37.68347,143.56812,4,Asphalt/Plexipave, Yes
27,Bannockburn Recreation Precinct,Bannockburn,3331,-38.036428,144.164469,6,Rebound Ace, Yes
33,Lethbridge Recreation Reserve,Lethbridge,3332,-37.967564,144.134532,3,Asphalt/Plexipave, Yes
36,Rokewood Recreation Reserve,Rokewood,3330,-37.902426,143.717106,2,Plexipave, Yes
38,Enfield Recreation Reserve,Enfield,3351,-37.757682,143.783898,1,Asphalt, Yes
39,Corindhap Recreation Reserve,Corindhap,3352,-37.873185,143.740973,2,Asphalt, Yes
41,Barunah Park Recreation Reserve,Barunah Park,3329,-38.022405,143.855625,2,Asphalt, Yes
43,Shelford Tennis Reserve,Shelford,3329,-38.011171,143.975621,3,Plexipave/Asphalt, Yes
46,Teesdale Recreation Reserve,Teesdale,3328,-38.023002,144.042493,,,
52,Inverleigh Tennis Reserve,Inverleigh,3321,-38.100783,144.053754,4,Asphalt, Yes
56,Meredith Recreation Reserve,Meredith,3333,-37.847398,144.074716,6,Asphalt, Yes
62,Maude Tennis Reserve,Maude,3331,-37.949409,144.169117,4,Asphalt, Yes
66,Gheringhap Tennis Reserve,Gheringhap,3331,-38.074414,144.235182,3,Plexipave, No
69,Sutherlands Creek Tennis Reserve,Sutherlands Creek,3331,-38.01553,144.227951,2,Plexipave, No
