,name,address,city,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,clay,wall,grass,indoor,lights,stringing
Northwestern High,Adelphi Road,washington,dc,Public,6,False,True,False,False,False,False,38,-76.952112,0,1,0,0,0,0
The Park at Canterbury,Brandywood Circle,orlando,fl,Homeowners Community,1,False,False,False,False,True,False,28,-81.285224,0,0,0,0,1,0
Tippit Middle School,Greenlee Drive,austin-san marcos,tx,Public,8,False,True,False,False,True,False,30,-97.7007937,0,1,0,0,1,0
Lexington Park,McKee Street,minneapolis-st. paul,mn,Public,1,False,False,False,False,False,False,44,-93.1421,0,0,0,0,0,0
Rogers Junior School,Avenue North,minneapolis-st. paul,mn,Public,6,False,False,False,False,False,False,45,-93.544174,0,0,0,0,0,0
Melrose Park,Talway Circle,west palm beach - boca raton,fl,Homeowners Community,2,False,False,False,False,False,False,26,-80.2005816,0,0,0,0,0,0
Staples High School Athletic Complex,North Avenue,new york,ny,Public,6,False,False,False,False,False,False,41,-73.330671,0,0,0,0,0,0
California Park,North California Avenue,chicago,il,Public,4,False,True,False,False,True,False,41,-87.697404,0,1,0,0,1,0
Cherry Grove East,East Drive,denver,co,Homeowners Community,2,False,False,False,False,True,False,39,-104.8220158,0,0,0,0,1,0
Juneau Playfield,North Street,milwaukee,wi,Public,6,False,False,False,False,False,False,43,-87.99405,0,0,0,0,0,0
Glenleigh,Glenleigh Drive Southwest,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.5557165,0,0,0,0,1,0
Washington Square Park,Saddlewood Drive,detroit,mi,Public,2,False,False,False,False,False,False,42,-82.9785883,0,0,0,0,0,0
Timber Trace,Gladeview Parkway,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.1795313,0,0,0,0,1,0
Stonehenge Condominiums,Haggerty Road,detroit,mi,Homeowners Community,1,False,False,False,False,False,False,42,-83.4361517,0,0,0,0,0,0
Marblehead Veterans Middle School,Vine Street,boston,ma,Public,3,False,False,False,False,False,False,42,-70.8613336,0,0,0,0,0,0
Abington Grove Apartments,Chestnut Street,boston,ma,Homeowners Community,2,False,False,False,False,False,False,42,-71.0007548,0,0,0,0,0,0
Chase Elementary School,Eastern Avenue,baltimore,md,Public,1,False,False,False,False,False,False,39,-76.3923383,0,0,0,0,0,0
University of Memphis,Houston Street,memphis,tn,Public,16,False,False,False,False,True,False,35,-89.9391782,0,0,0,0,1,0
Montgomery Hills,Marten Road,new york,ny,Homeowners Community,1,False,False,False,False,False,False,40,-74.6454155,0,0,0,0,0,0
Knoxwoods,Knox Boulevard,albany,ny,Homeowners Community,3,False,False,False,False,False,False,42,-73.7307501,0,0,0,0,0,0
Mountain View Terrace Apartments,Pollock Road,albany,ny,Homeowners Community,1,False,False,False,False,False,False,42,-73.7757254,0,0,0,0,0,0
Valley Brook Community,Valley Brook Drive South,dayton-springfield,oh,Homeowners Community,3,False,False,False,False,True,False,39,-84.3084919,0,0,0,0,1,0
Watersedge,Wateredge Drive,oklahoma city,ok,Homeowners Community,2,False,False,False,False,False,False,35,-97.5941491,0,0,0,0,0,0
Hartford Park,Hartford Park Walking Trail,st. louis,mo,Public,2,False,True,False,False,True,False,38,-90.0914311,0,1,0,0,1,0
University of California - Berkeley Hellman Tennis Stadium,Frank Schlessinger Way,san francisco - oakland - san jose,ca,Public,6,False,False,False,False,True,False,37,-122.2650218,0,0,0,0,1,0
Sequoia High School,James Avenue,san francisco - oakland - san jose,ca,Public,4,False,False,False,False,False,False,37,-122.2371697,0,0,0,0,0,0
Central Park Condominiums,East Shaw Avenue,fresno,ca,Homeowners Community,2,False,False,False,False,True,False,36,-119.7664797,0,0,0,0,1,0
H. Grady Spruce High School,Old Seagoville Road,dallas - fort worth,tx,Public,2,False,False,False,False,False,False,32,-96.6518462,0,0,0,0,0,0
Friendswood Lakes,Mossy Stone Drive,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,29,-95.2020264,0,0,0,0,1,0
Clearbrook,Clearbrook Circle East,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.1019835,0,0,0,0,1,0
Lexington Park at Westchase,Sundown View Court,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.6248372,0,0,0,0,1,0
Pine Spring Park,Willow Lane,washington,dc,Public,2,False,True,False,False,False,False,38,-77.208537,0,1,0,0,0,0
Westheimer Lakes,Avents Ridge Drive,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,29,-95.8291483,0,0,0,0,1,0
Rhodes Technology & Media Internal Charter School,Barclay Street,san antonio,tx,Public,2,False,False,False,False,False,False,29,-98.5420632,0,0,0,0,0,0
Canyon Lake High School,Winds Drive,san antonio,tx,Public,6,False,False,False,False,False,False,29,-98.2166576,0,0,0,0,0,0
Lakes At Renaissance Park,Renaissance Court,austin-san marcos,tx,Homeowners Community,1,False,False,False,False,False,False,30,-97.6861382,0,0,0,0,0,0
Columbus Park,Lewis Avenue,new york,ny,Public,4,False,False,False,False,False,False,41,-72.806042,0,0,0,0,0,0
Campbell Park,East Southern Street,denver,co,Public,4,False,True,False,False,True,False,39,-104.81404,0,1,0,0,1,0
Monroe Township High School,Schoolhouse Road,new york,ny,Public,6,False,False,False,False,False,False,40,-74.435452,0,0,0,0,0,0
Quibbletown Middle School,Fairview Avenue,new york,ny,Public,4,False,False,False,False,False,False,40,-74.449152,0,0,0,0,0,0
Willow Park,Wagner Road,chicago,il,Public,6,False,True,False,False,True,False,42,-87.778736,0,1,0,0,1,0
Neil Gylling Memorial Park,Mansfield Drive,new york,ny,Public,2,False,False,False,False,False,False,40,-74.706323,0,0,0,0,0,0
Kinsley Park & Playground,Chase Avenue,new york,ny,Public,4,False,False,False,False,False,False,40,-73.883925,0,0,0,0,0,0
Avalon Run,Town Court South,new york,ny,Homeowners Community,1,False,False,False,False,True,False,40,-74.6801126,0,0,0,0,1,0
Bay Colony Condominiums,Bay Colony Drive,chicago,il,Homeowners Community,1,False,False,False,False,True,False,42,-87.8669679,0,0,0,0,1,0
Sterling Glen Apartments,Southwind Drive,richmond-petersburg,va,Homeowners Community,1,False,False,False,False,True,False,37,-77.6962996,0,0,0,0,1,0
The Durham,York Avenue South,minneapolis-st. paul,mn,Homeowners Community,3,False,False,False,False,True,False,44,-93.3201778,0,0,0,0,1,0
Village At Lake Park,Wasco Ct Road,atlanta,ga,Homeowners Community,4,False,False,False,False,True,False,33,-84.4909358,0,0,0,0,1,0
Winfield Commons,Kensington Drive,cleveland,oh,Homeowners Community,1,False,False,False,False,False,False,41,-81.9071209,0,0,0,0,0,0
The Village Green,Augusta National Drive,boston,ma,Homeowners Community,2,False,False,False,False,True,False,42,-71.4763105,0,0,0,0,1,0
Dulle Park,Deerfield Road,cincinnati,oh,Public,2,False,False,False,False,False,False,39,-84.3518364,0,0,0,0,0,0
Copper Mill,Copper Ridge Drive,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,True,False,False,True,False,35,-78.9650381,0,1,0,0,1,0
Butterfield Village,North Session Court,memphis,tn,Homeowners Community,1,False,False,False,False,True,False,35,-89.8676813,0,0,0,0,1,0
Apollo Park,YardvilleHamilton Square Road,new york,ny,Public,3,False,False,False,False,False,False,40,-74.6713364,0,0,0,0,0,0
Brielle Park,South Street,new york,ny,Public,3,False,True,False,False,False,False,40,-74.0614665,0,1,0,0,0,0
Links at Rolling Meadows,Saint Andrews Drive,grand rapids,mi,Homeowners Community,2,False,False,False,False,False,False,42,-86.1250019,0,0,0,0,0,0
Gardner Park,East Street,indianapolis,in,Public,2,False,False,False,False,False,False,39,-86.048566,0,0,0,0,0,0
Ralph B. Clark Regional Park,Rosecrans Avenue,los angeles,ca,Public,4,False,False,False,False,True,False,33,-117.9802895,0,0,0,0,1,0
