OBJECTID,ID,PREC_PLANI,PREC_ALTI,NATURE,Z_MOYEN
1,TERRSPOR0000000063706829,1.5,1,Bassin de natation,81.74
2,TERRSPOR0000000063706915,1.5,1,Terrain de tennis,86.5
3,TERRSPOR0000000063706760,1.5,1,Indifférencié,108.56
4,TERRSPOR0000000063706701,1.5,1,Indifférencié,140.38
5,TERRSPOR0000000063706709,1.5,1,Terrain de tennis,148.7
6,TERRSPOR0000000063706786,1.5,1,Terrain de tennis,98.2
7,TERRSPOR0000000063706911,1.5,1,Indifférencié,106.78
8,TERRSPOR0000000063706721,1.5,1,Bassin de natation,124.64
9,TERRSPOR0000000063706861,1.5,1,Indifférencié,108.78
10,TERRSPOR0000000216877593,1.5,1,Terrain de tennis,117.52
11,TERRSPOR0000000216878014,1.5,1,Terrain de tennis,115.86
12,TERRSPOR0000000219483936,1.5,1,Indifférencié,106.06
13,TERRSPOR0000000219489893,1.5,1,Indifférencié,149
14,TERRSPOR0000000063706723,1.5,1,Indifférencié,118.88
15,TERRSPOR0000000063706863,1.5,1,Indifférencié,83.68
16,TERRSPOR0000000063706874,1.5,1,Indifférencié,97.95
17,TERRSPOR0000000063706888,1.5,1,Indifférencié,74.04
18,TERRSPOR0000000063706759,1.5,1,Terrain de tennis,120.3
19,TERRSPOR0000000330869368,1.5,1,Indifférencié,119.74
20,TERRSPOR0000000330869397,1.5,1,Indifférencié,71.68
21,TERRSPOR0000000330869398,1.5,1,Terrain de tennis,72.12
22,TERRSPOR0000000352870733,1.5,1,Indifférencié,87.9
23,TERRSPOR0000000352870735,1.5,1,Terrain de tennis,80.4
24,TERRSPOR0000000352870737,1.5,1,Terrain de tennis,76.08
25,TERRSPOR0000000063706813,1.5,1,Indifférencié,90.16
26,TERRSPOR0000000063706917,1.5,1,Indifférencié,59.5
27,TERRSPOR0000000329959725,1.5,1,Indifférencié,130
28,TERRSPOR0000000352870745,1.5,1,Indifférencié,93.9
29,TERRSPOR0000000352870748,1.5,1,Indifférencié,111.64
30,TERRSPOR0000000216877578,1.5,1,Indifférencié,139.46
31,TERRSPOR0000000063706907,1.5,1,Indifférencié,60.83
32,TERRSPOR0000000063706923,1.5,1,Indifférencié,57.1
33,TERRSPOR0000000063706827,1.5,1,Terrain de tennis,93.2
34,TERRSPOR0000000063706920,1.5,1,Indifférencié,73.48
35,TERRSPOR0000000219796964,1.5,1,Indifférencié,105.76
36,TERRSPOR0000000063706859,1.5,1,Indifférencié,107
37,TERRSPOR0000000219796969,1.5,1,Indifférencié,108.6
38,TERRSPOR0000000219796972,1.5,1,Indifférencié,75.84
39,TERRSPOR0000000219796973,1.5,1,Indifférencié,78.92
40,TERRSPOR0000000219796975,1.5,1,Indifférencié,94.9
41,TERRSPOR0000000219796997,1.5,1,Indifférencié,107
42,TERRSPOR0000000219796998,1.5,1,Indifférencié,108.6
