famille;equipement;code
Bassin de natation;Bassin sportif de natation;102
Circuit/piste de sports mécaniques;Circuit de vitesse;401
Circuit/piste de sports mécaniques;Courses sur piste;405
Circuit/piste de sports mécaniques;Terrain de trial;407
Circuit/piste de sports mécaniques;Terrain de moto-ball;410
Court de tennis;Autres terrains de pratique de tennis;502
Equipement de cyclisme;Relais rando-vélo;606
Equipement de cyclisme;Vélodrome;607
Equipement de cyclisme;Pumptrack;610
Equipement de cyclisme;Parc Mobil'Ludique;611
Equipement & piste de ski;Tremplin à ski;703
Equipement & piste de ski;Domaine nordique;705
Equipement d'activités de forme et de santé;Salle de cours collectifs;801
Equipement équestre;Carrière de dressage/rond de longe;902
Equipement équestre;Piste de course sur le plat;905
Equipement équestre;Parcours de cross;909
Mur et fronton;Mur à gauche;1102
Mur et fronton;Fronton place libre;1103
Mur et fronton;Trinquet;1104
Mur et fronton;Mur de tennis;1105
Parcours de golf;Practice;1205
Aire de sports de glaces;Aire de sports de glace sportive;1501
Aire de sports de glaces;Aire de sports de glace ludique;1503
Aire de sports de glaces;Anneau de vitesse;1504
Aire de sports de glaces;Piste de bobsleigh;1505
Multisports/City-stades;Multisports/City-stades;1701
Salle de combat;Dojo / Salle d'arts martiaux;1801
Salle de combat;Salle de boxe;1802
Salle multisports;Salle multisports (gymnase);1901
Salle ou terrain spécialisé;Salle de basket;2101
Salle ou terrain spécialisé;Salle de beach-volley;2102
Salle ou terrain spécialisé;Salle de culturisme;2104
Salle ou terrain spécialisé;Salle de tennis de table;2111
Salle ou terrain spécialisé;Salle de volley-ball;2113
Salle ou terrain spécialisé;Salle d'escrime;2115
Salle ou terrain spécialisé;Salle ou terrain de squash;2117
Salle ou terrain spécialisé;Terrain de balle au tambourin;2124
Salle ou terrain spécialisé;Salle ou terrain de paintball;2125
Salle ou terrain spécialisé;Salle autonome connectée;2129
Salle ou terrain spécialisé;Triathlon Immersive Rooms;2130
Site d'activités aériennes;Aire d'atterrissage;2303
Site d'activités aériennes;Site de glisse aérotractée;2307
Site d'activités aquatiques et nautiques;Baignade aménagée;2402
Site d'activités aquatiques et nautiques;Stade de ski nautique;2404
Site d'activités aquatiques et nautiques;Stade de canoë-kayak de vitesse;2407
Site de modélisme;Site de modélisme automobile;2501
Site de modélisme;Site de voile radio commandée;2502
Skatepark & vélo Freestyle;Espace de vélo-freestyle;2602
Structure Artificielle d'Escalade;Salle de blocs artificiels d'escalade;2702
Terrain de grands jeux;Terrain de football américain;2804
Terrain de grands jeux;Terrain de rugby à XIII;2805
Terrain de grands jeux;Terrain de baseball /softball;2806
Terrain de grands jeux;Terrain de cricket;2808
Terrain extérieur de petits jeux collectifs;Terrain de beach-volley;2902
Terrain extérieur de petits jeux collectifs;Terrain de handball;2903
Terrain extérieur de petits jeux collectifs;Terrain de volley-ball;2904
Terrain extérieur de petits jeux collectifs;Terrain de handball 4x4;2906
Terrain extérieur de petits jeux collectifs;Terrain de beach-hand;2907
Terrain extérieur de petits jeux collectifs;Terrain de baseball 5;2910
Divers équipements Sports de nature;Canyon;3001
Divers équipements Sports de nature;Parcours Acrobatique en Hauteur/Site d'accrobranche;3003
Divers équipements Sports de nature;Site d'escalade en falaise;3007
Divers équipements Sports de nature;Site de spéléologie sportive et/ou éducative;3008
Divers équipements Sports de nature;Boucle de randonnée;3012
Divers équipements;Simulateur de chute libre;3108
Bassin de natation;Fosse à plongée;105
Bassin de natation;Bassin de réception de toboggan;106
Boulodrome;Terrain de boules traditionnelles;203
Circuit/piste de sports mécaniques;Circuit de motocross;404
Circuit/piste de sports mécaniques;Piste de kart;409
Equipement de cyclisme;Anneau / piste de cyclisme;601
Equipement de cyclisme;Terrain de cyclocross;608
Equipement de cyclisme;Urban Freestyle Park;612
Equipement & piste de ski;Domaine de ski alpin;701
Equipement & piste de ski;Piste de luge;706
Equipement d'activités de forme et de santé;Salle de musculation/cardiotraining;802
Equipement d'activités de forme et de santé;Bassin d'exercices aquatiques;803
Equipement d'activités de forme et de santé;Aire de fitness/street workout;804
Equipement équestre;Terrain de horse-ball;907
Equipement équestre;Terrain de polo;908
Equipement d'athlétisme;Stade d’athlétisme;1001
Equipement d'athlétisme;Aire de lancer;1002
Equipement d'athlétisme;Piste d'athlétisme isolée;1004
Mur et fronton;Mur ou fronton mixte;1101
Parcours de golf;Parcours 9 trous;1204
Aire de sports de glaces;Salle de curling;1506
Salle ou terrain spécialisé;Salle de billard;2103
Salle ou terrain spécialisé;Salle de danse;2105
Salle ou terrain spécialisé;Salle de lutte;2108
Salle ou terrain spécialisé;Salle de patinage sur roulette;2109
Salle ou terrain spécialisé;Salle de trampoline;2112
Salle ou terrain spécialisé;Salle d'échecs;2114
Salle ou terrain spécialisé;Salle d'haltérophilie;2116
Salle ou terrain spécialisé;Terrain de quilles;2123
Salle ou terrain spécialisé;Salle ou terrain de jorkyball;2126
Salle ou terrain spécialisé;Terrain de ballon au poing/long paume;2127
Salle ou terrain spécialisé;Parkour/blocpark;2131
Site d'activités aériennes;Piste d’aérodrome / d'aéroport;2304
Site d'activités aériennes;Site d'aérostation;2305
Site d'activités aériennes;Piste ULM;2306
Site d'activités aquatiques et nautiques;Circuit de motonautisme;2403
Site d'activités aquatiques et nautiques;Stade d’aviron;2406
Site d'activités aquatiques et nautiques;Terrain de kayak polo;2409
