COLL_NOM;COLL_SIRET;EQUIP_UID;EQUIP_THEME;EQUIP_CODE;EQUIP_TYPE;EQUIP_NOM;ADR_NUMERO;ADR_NOMVOIE;ADR_CODEPOSTAL;ADR_COMMUNE;ADR_CLE_INTEROP;ERP_ID;ERP_TYPE;ERP_CATEGORIE;EQUIP_LAT;EQUIP_LONG;EQUIP_OUVERTURE;EQUIP_TEL;EQUIP_EMAIL;EQUIP_WEB
Val-de-Marne;21940053800076;94053-05010300-005;Equipement sportif et de loisirs;05010300-005;Complexe sportif en espace interieur et/ou extérieur;terrain de petanque - complexe sportif de la pepiniere;nan;rue pierre vienot;94880;Noiseau;;;;;48.774;2.548;;;;http://www.mairie-noiseau.fr/pageLibre00010840.aspx
Val-de-Marne;21940053800076;94053-05010304-006;Equipement sportif et de loisirs;05010304-006;Court de tennis;terrain de tennis - complexe sportif de la pepiniere;nan;rue pierre vienot;94880;Noiseau;;;;;48.773;2.549;;;;http://www.mairie-noiseau.fr/pageLibre00010840.aspx
Val-de-Marne;21940053800076;94053-05010310-012;Equipement sportif et de loisirs;05010310-012;Terrain de grands jeux (stade);terrain de football - stade pierre grisard;nan;rue pierre brossolette;94880;Noiseau;;;;;48.776;2.545;;;;http://www.mairie-noiseau.fr/pageLibre00010840.aspx
Val-de-Marne;21940075100018;94075-05010304-016;Equipement sportif et de loisirs;05010304-016;Court de tennis;courts de tennis couverts;nan;chemin des meuniers;94440;Villecresnes;;;;;48.717;2.548;;;;https://tcvillecresnes.fr/
Val-de-Marne;21950491700010;94059-05010103-020;Equipement sportif et de loisirs;05010103-020;Salle ou terrain spécialisé;salle de danse - ecole de danse sanaga;8;avenue ardouin;94420;Le Plessis -Trévise;;;;;48.812;2.57;;;;
Val-de-Marne;21940002500017;94002-05020101-026;Equipement sportif et de loisirs;05020101-026;Salle des fêtes (polyvalente, ....);maison des ceremonies familiales;nan;place ochagan;94140;Alfortville;;;;;48.787;2.422;;;;
Val-de-Marne;21940053800076;94053-05010304-031;Equipement sportif et de loisirs;05010304-031;Court de tennis;terrain de football - complexe sportif de la pepiniere;nan;rue pierre vienot;94880;Noiseau;;;;;48.773;2.549;;;;http://www.mairie-noiseau.fr/pageLibre00010840.aspx
Val-de-Marne;21940071000014;94071-05020101-048;Equipement sportif et de loisirs;05020101-048;Salle des fêtes (polyvalente, ....);centre culturel de la ferme;27;rue du grand val;94370;Sucy-en-Brie;;;;;48.776;2.52;;;;
Val-de-Marne;21940002500017;94002-05010103-064;Equipement sportif et de loisirs;05010103-064;Salle ou terrain spécialisé;office municipal des sports;2;rue de toulon;94140;Alfortville;;;;;48.787;2.429;;;;
Val-de-Marne;21940070200011;94070-05010310-069;Equipement sportif et de loisirs;05010310-069;Terrain de grands jeux (stade);stade didier boutten;nan;route de marolles;94440;Santeny;;;;;48.735;2.56;;;;
Val-de-Marne;21950491700010;94059-05010103-071;Equipement sportif et de loisirs;05010103-071;Salle ou terrain spécialisé;terrains de squash du tennis club du plessis trevise;17;avenue de l'europe;94420;Le Plessis -Trévise;;;;;48.803;2.578;;;;
Val-de-Marne;21940044700013;94044-05010101-076;Equipement sportif et de loisirs;05010101-076;Salle de combat;salle de boxe;22;rue gutenberg;94450;Limeil-Brévannes;;;;;48.743;2.482;;;;
Val-de-Marne;21940071000014;94071-05010304-079;Equipement sportif et de loisirs;05010304-079;Court de tennis;terrains de tennis- parc des sports de sucy;nan;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.759;2.537;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010311-080;Equipement sportif et de loisirs;05010311-080;Pas de tir;cercle de tir sucy en brie;nan;allée des douves;94370;Sucy-en-Brie;;;;;48.769;2.531;;;;
Val-de-Marne;21940044700013;94044-05010303-082;Equipement sportif et de loisirs;05010303-082;Bassin de natation;piscine des dauphins;1; voie pompidou;94450;Limeil-Brévannes;;;;;48.744;2.512;;;;
Val-de-Marne;21950491700010;94059-05010304-123;Equipement sportif et de loisirs;05010304-123;Court de tennis;terrain de handball/football - espace sportif de plein air;nan;avenue de plein air;94420;Le Plessis -Trévise;;;;;48.802;2.576;;;;
Val-de-Marne;21950491700010;94059-05010103-129;Equipement sportif et de loisirs;05010103-129;Salle ou terrain spécialisé;salle de danse - gym k danse;55;avenue jean kiffer;94420;Le Plessis -Trévise;;;;;48.806;2.578;;;;http://kdanse-gym.fr/
Val-de-Marne;21950491700010;94059-05010102-130;Equipement sportif et de loisirs;05010102-130;Gymnase;gymnase - espace omnisports philippe de dieuleveult;169;avenue maurice bertheaux;94420;Le Plessis -Trévise;;;;;48.804;2.574;;;;https://www.leplessistrevise.fr/
Val-de-Marne;21940053800076;94053-05010103-138;Equipement sportif et de loisirs;05010103-138;Salle ou terrain spécialisé;salle de tennis de table;3;rue sadi carnot;94880;Noiseau;;;;;48.775;2.552;;;;http://www.mairie-noiseau.fr/pageLibre00010840.aspx
Val-de-Marne;21940019900184;94019-05010102-141;Equipement sportif et de loisirs;05010102-141;Gymnase;gymnase maurice rousseau;52;avenue claire;94430;Chennevières-sur-marne;;;;;48.8;2.547;;;;https://www.chennevieres.com/
Val-de-Marne;21950491700010;94059-05010301-146;Equipement sportif et de loisirs;05010301-146;Skatepark et vélo freestyle;skate park - espace sportif de plein air;nan;avenue de plein air;94420;Le Plessis -Trévise;;;;;48.802;2.576;;;;
Val-de-Marne;21940019900184;94019-05010304-147;Equipement sportif et de loisirs;05010304-147;Court de tennis;terrain de tennis - stade armand fey;24;route du plessis trevise;94430;Chennevières-sur-marne;;;;;48.806;2.557;;;;https://www.chennevieres.com/
Val-de-Marne;21940060300011;94060-05010304-151;Equipement sportif et de loisirs;05010304-151;Court de tennis;2 terrains de tennis - stade robert barran;nan;route de combault;94510;La Queue-en-brie;;;;;48.793;2.589;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010304-152;Equipement sportif et de loisirs;05010304-152;Court de tennis;2 terrains de tennis eclaires - stade robert barran;nan;route de combault;94510;La Queue-en-brie;;;;;48.793;2.589;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010207-153;Equipement sportif et de loisirs;05010207-153;"Parcours sportif ; Parcours de santé";parcours de sante;nan;chemin vert;94510;La Queue-en-brie;;;;;48.794;2.589;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010307-154;Equipement sportif et de loisirs;05010307-154;Equipement d'athlétisme;stade d'athletisme - stade robert barran;nan;route de combault;94510;La Queue-en-brie;;;;;48.793;2.59;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010300-155;Equipement sportif et de loisirs;05010300-155;Complexe sportif en espace interieur et/ou extérieur;terrain de petanque;nan;chemin vert;94510;La Queue-en-brie;;;;;48.794;2.59;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21950491700010;94059-05010307-156;Equipement sportif et de loisirs;05010307-156;Equipement d'athlétisme;stade d'athletisme -centre sportif louison bobet;6;avenue albert camus;94420;Le Plessis -Trévise;;;;;48.803;2.576;;;;https://www.leplessistrevise.fr/
Val-de-Marne;21950491700010;94059-05010300-157;Equipement sportif et de loisirs;05010300-157;Complexe sportif en espace interieur et/ou extérieur;boulodrome -centre sportif louison bobet;6;avenue albert camus;94420;Le Plessis -Trévise;;;;;48.802;2.575;;;;https://www.leplessistrevise.fr/
