DepCode;DepLib;ComInsee;ComLib;InsNumeroInstall;InsNom;EquipementId;EquNbEquIdentique;ActCode;Sport / Activité;Niveau pratiqué;NatureLibelle;gps;InsNoVoie;InsLibelleVoie;InsCodePostal;Utilisation;Utilisateurs;typeerp;EquipementTypeCode;EquipementTypeLib;InsArrondissement;Famille type d'équipement
95;Val-d'Oise;95110;Brignancourt;951100001;Stade Municipal;157164;1;7901;Tennis;Entrainement;Découvert;49.135918, 1.94682;;Rue de la Jeunesse;95640;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95127;Cergy;951270062;Île de loisirs de Cergy-Neuville;154884;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.0317, 2.0523;;Rue des Etangs;95000;Récréation sportive,Performance sportive;Scolaires / Universités,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95127;Cergy;951270016;Groupe Scolaire le Point du Jour;159135;1;7901;Tennis;Scolaire;Découvert;49.0511, 2.01591;;Passage de l'Eveil;95000;Récréation sportive;Scolaires / Universités,Autre(s) association(s) et groupes divers;;1701;Plateau EPS/Multisports/city-stades;;Plateau EPS
95;Val-d'Oise;95197;Deuil-la-Barre;951970012;Tennis Club de la Source;154935;2;7901;Tennis;Entrainement;Découvert;48.9826, 2.32723;;Rue des Martinets;95170;Formation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95199;Domont;951990008;Tennis des Beursillons;154959;4;7901;Tennis;Compétition régionale;Découvrable;49.023, 2.33115;;Chemin des Beursillons;95330;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;"Établissement sportif couvert;Établissement de plein air";501;Court de tennis;;Court de tennis
95;Val-d'Oise;95203;Eaubonne;952030001;Centre Departemental de Formation et d'Animation Sportive du 95;159232;3;7901;Tennis;Entrainement;Découvert;48.9766, 2.27883;60-64;Rue des Bouquinvilles;95600;Formation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95205;Écouen;952050001;Courts de Tennis Intercommunal;154994;3;7901;Tennis;Compétition départementale;Découvert;49.02992, 2.37224;;Avenue du Marechal Foch;95440;Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95218;Éragny;952180005;Tennis Club;159349;1;7901;Tennis;Compétition régionale;Intérieur;49.0215, 2.11302;85;Rue de Pierrelaye;95610;Récréation sportive,Performance sportive;Clubs sportifs / Comités / Ligues / Fédérations;"Salle polyvalente à dominante sportive;Établissement sportif couvert";501;Court de tennis;;Court de tennis
95;Val-d'Oise;95219;Ermont;952190015;Complexe Sportif Raoul Dautry;159439;2;7901;Tennis;Entrainement;Intérieur;48.9793, 2.26364;105;Rue Saint Gratien;95120;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95252;Franconville;952520018;Tennis Club de Franconville;155139;1;7901;Tennis;Entrainement;Découvert;48.9994, 2.22048;78;Avenue des Marais;95130;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95252;Franconville;952520018;Tennis Club de Franconville;155140;1;7901;Tennis;Entrainement;Découvert;48.9994, 2.22048;78;Avenue des Marais;95130;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95252;Franconville;952520018;Tennis Club de Franconville;155142;1;7901;Tennis;Entrainement;Découvert;48.9994, 2.22048;78;Avenue des Marais;95130;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95268;Garges-lès-Gonesse;952680017;Complexe Sportif Jean Jaures;159576;2;7901;Tennis;Entrainement;Découvert;48.96546, 2.41257;;Rue Rene Blouet;95140;Performance sportive;Clubs sportifs / Comités / Ligues / Fédérations;;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95271;Génicourt;952710001;Ensemble Sportif Municipal;156456;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.08849, 2.06427;8;Rue des Sablons;95650;Récréation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95277;Gonesse;952770004;Complexe Sportif Cognevaut;159679;4;7901;Tennis;Compétition départementale;Découvert;48.98977, 2.44046;23 BIS;Rue Claret;95500;Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95288;Groslay;952880005;Tennis Club de Groslay;155223;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.98888, 2.35234;3;Chemin du Carrefour Saint Martin;95410;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95304;Hédouville;953040001;Ensemble Sportif;156778;1;7901;Tennis;Scolaire;Découvert;49.153582, 2.172145;;Rue des Fortes Terres;95690;Récréation sportive;Scolaires / Universités,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95323;Jouy-le-Moutier;953230025;"Groupe Scolaire ""Les Retentis""";159829;1;7901;Tennis;Scolaire;Découvert;49.0141, 2.0379;;Allee des Retentis;95280;Récréation sportive;Scolaires / Universités,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);;1701;Plateau EPS/Multisports/city-stades;;Plateau EPS
95;Val-d'Oise;95331;Lassy;953310001;Asaf Domaine de Lassy;356310;5;7901;Tennis;Non défini;Découvert;49.104106, 2.439599;;Route Departementale 922;95270;;;;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95351;Louvres;953510002;Le Complexe Tennis / Dojo;155264;4;7901;Tennis;Compétition nationale;Découvert;49.0493, 2.50957;;Rue Andre Malraux;95380;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95355;Magny-en-Vexin;953550001;Complexe Sportif Jesse Owens;156539;1;7901;Tennis;Entrainement;Découvert;49.15113, 1.78314;;Rue Philippe Chevalier;95420;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95392;Mériel;953920005;Tennis Club de Meriel;159880;2;7901;Tennis;Compétition départementale;Découvert;49.07792, 2.20257;;Rue des Petits Pres;95630;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95395;Mesnil-Aubry;953950002;Terrain de Tennis;157600;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.05742, 2.39988;;Rue de Paris;95720;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95424;Montigny-lès-Cormeilles;954240003;Complexe Sportif Pierre Carlier;157578;1;7901;Tennis;Entrainement;Intérieur;48.9907, 2.18667;;Rue Pierre Carlier;95370;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
95;Val-d'Oise;95424;Montigny-lès-Cormeilles;954240003;Complexe Sportif Pierre Carlier;157579;1;7901;Tennis;Entrainement;Découvert;48.99014, 2.18629;;Rue Pierre Carlier;95370;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95424;Montigny-lès-Cormeilles;954240003;Complexe Sportif Pierre Carlier;157582;1;7901;Tennis;Entrainement;Découvert;48.98997, 2.18609;;Rue Pierre Carlier;95370;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95427;Montmagny;954270005;Stade Municipal;157546;3;7901;Tennis;Compétition nationale;Intérieur;48.9704, 2.34487;;Rue Pelletier;95360;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95462;Omerville;954620001;Complexe Sportif Communal;156785;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.1403, 1.715121;;Rue des Fontaines;95420;Récréation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95500;Pontoise;955000013;Pontoise Tennis Club;159649;1;7901;Tennis;Compétition départementale;Intérieur;49.0443, 2.08958;3;Chaussee Jules Cesar;95300;Formation sportive;Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95500;Pontoise;955000013;Pontoise Tennis Club;159654;1;7901;Tennis;Compétition départementale;Intérieur;49.0443, 2.08958;3;Chaussee Jules Cesar;95300;Formation sportive;Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95509;Puiseux-en-France;955090001;Complexe Sportif Andre Malraux;155384;1;7901;Tennis;Compétition départementale;Découvert;49.06087, 2.49841;;Route de Marly;95380;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95554;Saint-Gervais;955540001;Terrain du Parc;156695;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.16995, 1.75934;;Rue du Parc;95420;Récréation sportive;Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95555;Saint-Gratien;955550003;Complexe de Tennis;155473;4;7901;Tennis;Entrainement;Découvert;48.9768, 2.28665;18 TER;Rue des Cressonnieres;95210;Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95612;Thillay;956120002;Le Stade Muncipal;155560;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.00579, 2.47644;18;Chemin de Saint Denis;95500;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95627;Vallangoujard;956270001;Vallée Saint Martin;156664;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.13745, 2.10986;;Rue de Mezieres;95810;Récréation sportive,Formation sportive;Scolaires / Universités,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
95;Val-d'Oise;95637;Vauréal;956370003;Gymnase Marcel Paul;160207;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;49.02745, 2.0275;;Avenue Gavroche;95490;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement de plein air;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95637;Vauréal;956370018;Parc des Sports;160269;2;7901;Tennis;Compétition régionale;Intérieur;49.0319, 2.01391;40;Avenue Auguste Blanqui;95490;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
95;Val-d'Oise;95690;Wy-dit-Joli-Village;956900001;Terrain de Football & Tennis;157121;2;7901;Tennis;Entrainement;Découvert;49.1012, 1.83117;;Rue Sebastien Lenoir;95420;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77350;Ozoir-la-Ferrière;773500028;Tennis Club d'Ozoir;345312;2;7901;Tennis;Compétition départementale;Intérieur;48.76378, 2.67601;;Allee de la Breche Aux Loups;77330;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77373;Pontault-Combault;773730005;Gymnase Republique;145023;1;7901;Tennis;Entrainement;Intérieur;48.80411, 2.60648;;Rue Emile Pajot;77340;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
77;Seine-et-Marne;77389;Rochette;773890004;Tennis Club;145159;3;7901;Tennis;Compétition départementale;Découvert;48.5106, 2.66655;;Allée du Mûrier- Lotissement des Pins;77000;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77403;Saint-Brice;774030001;Tennis et Plateau Eps;145225;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.5687, 3.3269;;Rue Pierre Dupont;77160;Récréation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77404;Sainte-Colombe;774040002;Tennis de Sainte Colombe;145228;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.5287, 3.26074;;Rue du Chateau Jaillard;77650;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77413;Saint-Germain-sur-Morin;774130001;Stade Municipal;145282;1;7901;Tennis;Compétition départementale;Découvert;48.880215, 2.846054;;Rue Montguillon;77860;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77425;Saint-Martin-en-Bière;774250001;Courts de Tennis;145317;2;7901;Tennis;Compétition départementale;Découvert;48.4355, 2.56801;;Parking de la Cochenille;77630;Récréation sportive,Performance sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
77;Seine-et-Marne;77432;Saint-Rémy-la-Vanne;774320004;Court de Tennis;348267;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.819855, 3.244976;;Montmogis;77320;Récréation sportive;Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
