numinstallation;nominstallation;adresse;codepostal;new_name;new_code;actif;etat;date_creation;date_etat;date_valid;carac3;carac4;carac14;carac15;carac16;carac19;carac20;carac21;siret;uai;numequipement;nomequipement;codetypequipement;typequipement;famille;tagequipement;coordgpsx;coordgpsy;carac24;carac25;carac27;carac29;carac31;carac33;carac34;carac35;carac38;carac50;carac51;carac52;carac53;carac54;carac55;carac56;carac58;carac59;carac60;carac61;carac62;carac63;carac64;carac65;carac66;carac67;carac68;carac69;carac70;carac71;carac72;carac73;carac74;carac75;carac76;carac77;carac78;carac79;carac80;carac81;carac82;carac93;carac117;carac118;carac123;carac143;carac153;carac154;carac156;carac157;carac158;carac159;carac160;carac167;carac168;carac169;carac170;carac171;carac172;carac173;carac174;carac175;carac176;carac181;code_aps;epci_code;epci_nom;dep_code;dep_nom;reg_code;reg_nom;dep_code_filled;aca_nom;lib_bdv;code_bdv;coordonnees
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-23;2019-12-16;2019-12-16;false;2013-10-14;;false;false;;;;;;E003I180290001;Terrain de pétanque;202;Terrain de pétanque;Boulodrome;validé;2.76207;46.74679;false;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;7.0;2.0;189.0;;0.0;0.0;0.0;;;;;;;;;;;2009;;;{};{};{};{};{};Individuel(s), famille(s);{};Sable;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.74679, 2.76207
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-23;2019-12-16;2019-12-16;false;2013-10-14;;false;false;;;;;;E004I180290001;Parcours de santé;1301;Parcours sportif/santé;Parcours sportif/santé;validé;2.7612698;46.74667602;false;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;;70.0;;5.0;0.0;0.0;0.0;;;;;;;;;;;2012;;;{};{};{};{};{};Individuel(s), famille(s);{};Gazon naturel;Découvert;A partir de 2005;;;;Commune;;Commune;;;"{""8901""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.74667602, 2.7612698
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-13;2019-12-16;2019-12-16;false;2013-10-14;;false;true;Base de plein air et/ou de loisirs;;;;;E001I180290002;Terrain de sable Beachsoccer;2128;Terrain de soccer;Salle ou terrain spécialisé;validé;2.79648;46.736242;true;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;31.0;42.0;1 302.0;0.0;0.0;0.0;0.0;;;;;;;;;;;2005;;;{};{};{};{};{};Individuel(s), famille(s),Autre - association(s) et groupes divers;{};Sable;Découvert;A partir de 2005;;;;Département;;Département;;;"{""2901""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.736242, 2.79648
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-13;2019-12-16;2019-12-16;false;2013-10-14;;false;true;Base de plein air et/ou de loisirs;;;;;E004I180290002;Site de voile;2401;Site d'activités aquatiques et nautiques;Site d'activités aquatiques et nautiques;validé;2.79834;46.73428;false;false;false;true;true;false;false;false;true;;true;;;false;false;false;false;;false;;false;false;;;5.0;;;;100 000.0;1.0;0.0;0.0;2.0;;;;;;;;;;;;;Sanitaires à proximité;{};{PA};"{Reception/accueil,Buvette,""Local de rangement""}";{};{};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations;{};Surface naturelle;Site naturel aménagé;1995-2004;;;;Département;;Département;Département;;"{""601"",""8502"",""8501""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.73428, 2.79834
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-13;2019-12-16;2019-12-16;false;2013-10-14;;false;true;Base de plein air et/ou de loisirs;;;;;E005I180290002;Parcours de pêche;2420;Site de pêche;Site d'activités aquatiques et nautiques;validé;2.79834;46.73428;false;true;false;;false;false;false;false;true;;false;;;false;false;false;false;;false;;false;false;;;5.0;;;;12 300.0;1.0;0.0;0.0;0.0;;;;;;;;;;;;;;{};{PA};{};{};{};Individuel(s), famille(s);{};Surface naturelle;Site naturel aménagé;1965-1974;;;;Département;;Association(s);Département;;"{""5501""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.73428, 2.79834
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;18029;True;Validé;2005-10-13;2019-12-16;2019-12-16;false;2013-10-14;;false;true;Base de plein air et/ou de loisirs;;;;;E007I180290002;Terrain de pétanque;202;Terrain de pétanque;Boulodrome;validé;2.796159;46.7359194;true;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;9.0;29.0;261.0;1.0;0.0;0.0;0.0;;;;;;;;;;;;;;{};{};{};{};{};Individuel(s), famille(s);{};Sable;Découvert;;;;;Département;;Département;;;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.7359194, 2.796159
I180340001;CHEMINS DE RANDONNEE;Place du village;18200;Bouzais;18034;True;Attribué;2007-12-02;2019-11-08;2013-07-14;false;2013-11-07;"Se garer sur le parking, franchir le ruisseau, passer le Gué rond, à la ferme, tourner à droite, après 400m prendre le chemin herbeux, passer par l'Etang du Moulin, le lieu-dit ""les Cris"", le silo, retourner en direction de Bouzais par la vallée du Ruisseau";true;false;;{};{};;;E001I180340001;Circuit des Cris;3012;Boucle de randonnée;Divers équipements Sports de nature;validé;2.47431;46.71288;false;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;;10000.0;;1.0;0.0;0.0;0.0;;;;;;;;;;;;;;{};{};{};{};{};Individuel(s), famille(s);{};Surface naturelle;Site naturel;1985-1994;;;;Commune;;Commune;;;"{""6201""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.71288, 2.47431
I180340002;SALLE DES FETES;Rue des Maisons blanches Le Bourg;18200;Bouzais;18034;True;Attribué;2009-07-06;2019-11-08;2013-07-14;false;2013-11-07;;true;false;;{};{};;;E002I180340002;Terrain de Jeux;2901;Terrain de basket-ball;Terrain extérieur de petits jeux collectifs;validé;2.47894;46.70477;false;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;;;800.0;1.0;0.0;0.0;0.0;;;;;;;;;;;;;;{};{};{};{};{};Individuel(s), famille(s);{};Bitume;Découvert;1985-1994;;;;Commune;;Commune;;;"{""1101""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.70477, 2.47894
I180340002;SALLE DES FETES;Rue des Maisons blanches Le Bourg;18200;Bouzais;18034;True;Attribué;2009-07-06;2019-11-08;2013-07-14;false;2013-11-07;;true;false;;{};{};;;E003I180340002;Terrain de pétanque;202;Terrain de pétanque;Boulodrome;validé;2.47917;46.70479;false;true;false;false;false;false;false;false;false;;false;;;false;false;false;false;;false;;false;false;;;;;4.0;20.0;80.0;;0.0;0.0;0.0;;;;;;;;;;;;;;{};{};{};{};{};Individuel(s), famille(s);{};Sable;Découvert;1985-1994;;;;Commune;;Commune;;;"{""6001""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.70479, 2.47917
I180520001;TERRAINS DE TENNIS;Route Neuve;18210;Charenton-du-Cher;18052;True;Validé;2005-12-06;2019-12-18;2019-12-18;true;2014-12-31;;true;false;;"{""Handicap moteur""}";{};;;E001I180520001;Terrains de tennis;501;Court de tennis;Court de tennis;validé;2.64363;46.73056;false;false;false;true;false;false;false;false;false;;false;;;false;;;false;;false;;;;;;5.0;;18.0;36.0;648.0;1.0;0.0;0.0;0.0;;;;;;;;;;;;;;{};{PA};{};{};{};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Autre - association(s) et groupes divers;{};Stabilisé/cendrée;Découvert;1985-1994;;;;Commune;;Commune;;;"{""7901""}";200036135;CC Cœur de France;18;Cher;24;Centre-Val de Loire;18;Académie d'Orléans-Tours;Saint-Amand-Montrond;18197;46.73056, 2.64363
