ID,FIRST,LAST,HAND,BIRTHDATE,COUNTRY
100119,Ilie,Nastase,R,19460719,ROU
100087,John,Newcombe,R,19440523,AUS
100284,Jimmy,Connors,L,19520902,USA
100084,Tom,Okker,R,19440222,NED
100126,Stan,Smith,R,19461214,USA
100016,Ken,Rosewall,R,19341102,AUS
100174,Manuel,Orantes,L,19490206,ESP
100029,Rod,Laver,L,19380809,AUS
100113,Jan,Kodes,R,19460301,CZE
100074,Arthur,Ashe,R,19430710,USA
100127,Tom,Gorman,R,19461219,USA
100022,Roy,Emerson,R,19361103,AUS
100060,Marty,Riessen,R,19411204,USA
100214,Adriano,Panatta,R,19500709,ITA
100037,Nikola,Pilic,L,19390827,CRO
100058,Roger,Taylor,L,19411014,GBR
100115,Jaime,Fillol,R,19460603,CHI
100437,Bjorn,Borg,R,19560606,SWE
100128,Cliff,Richey,R,19461231,USA
100249,Paolo,Bertolucci,R,19510803,ITA
100261,Brian,Gottfried,R,19520127,USA
100073,Mark,Cox,L,19430705,GBR
100055,Cliff,Drysdale,R,19410526,RSA
100255,Roscoe,Tanner,L,19511015,USA
100162,Brian,Fairlie,R,19480613,NZL
100309,Raul,Ramirez,R,19530620,MEX
100229,Dick,Stockton,R,19510218,USA
100232,Eddie,Dibbs,R,19510223,USA
100244,John,Alexander,R,19510704,AUS
100321,Vijay,Amritraj,R,19531214,IND
100282,Guillermo,Vilas,L,19520817,ARG
100179,Karl,Meiler,R,19490430,GER
100376,Buster C,Mottram,R,19550425,GBR
100092,Alex,Metreveli,R,19441102,RUS
100144,Robert,Lutz,R,19470829,USA
100030,Fred,Stolle,R,19381008,AUS
100137,Han Jurgen,Pohmann,R,19470523,GER
100231,Erik,Van Dillen,R,19510221,USA
100091,Colin,Dibley,R,19440919,AUS
100135,Onny,Parun,R,19470415,NZL
100185,Patrick,Proisy,R,19490910,FRA
100257,Ross,Case,R,19511101,AUS
100121,Raymond,Moore,R,19460824,RSA
100220,Jiri,Hrebec,R,19500919,CZE
100062,Francois,Jauffret,R,19420209,FRA
100161,Jurgen,Fassbender,R,19480528,GER
100081,Charlie,Pasarell,R,19440212,USA
100078,Clark,Graebner,R,19431104,USA
100203,Phil,Dent,R,19500214,AUS
100205,Paul,Gerken,R,19500315,USA
100090,Dick,Crealy,R,19440918,AUS
100219,Geoff,Masters,R,19500919,AUS
100173,Andrew,Pattison,R,19490130,USA
100118,Ivan,Molina,L,19460616,COL
100199,Patrice,Dominguez,L,19500112,FRA
100245,Jeff,Austin,R,19510705,USA
100098,Ove Nils,Bengtson,R,19450405,SWE
100142,Peter,Szoke,R,19470808,HUN
100286,Harold,Solomon,R,19520917,USA
100105,Allan,Stone,R,19451014,AUS
100228,Kjell,Johansson,R,19510212,SWE
100050,Martin,Mulligan,R,19401018,AUS
100057,Pierre,Barthes,R,19410913,FRA
100025,Barry,Phillips Moore,R,19370709,AUS
100039,Boro,Jovanovic,R,19391021,CRO
100139,Gerald,Battrick,R,19470527,GBR
100160,Georges,Goven,R,19480426,FRA
100064,Juan,Gisbert,R,19420405,ESP
100200,Antonio,Zugarelli,R,19500117,ITA
100141,Zeljko,Franulovic,R,19470613,CRO
100116,Sherwood,Stewart,R,19460606,USA
100066,Frank,Froehling,R,19420519,USA
100120,Robert,Maud,R,19460812,RSA
100035,Ion,Tiriac,R,19390509,ROU
100182,Mike,Estep,R,19490719,USA
100297,Corrado,Barazzutti,R,19530219,ITA
100038,Jaime,Pinto Bravo,R,19391009,CHI
100149,Toshiro,Sakai,R,19471123,JPN
100067,Frew,Mcmillan,R,19420520,RSA
100047,Bob,Carmichael,R,19400704,AUS
100148,Ismail,El Shafei,R,19471115,EGY
100186,Jeff,Borowiak,R,19490925,USA
100235,Antonio,Munoz,R,19510301,ESP
100129,Jean Baptiste,Chanfreau,R,19470117,FRA
100176,Hans,Kary,L,19490223,AUT
100125,John,Cooper,R,19461104,AUS
100076,Milan,Holecek,R,19431023,CZE
