first_name,last_name,hand,birth_date,country_code
Gardnar,Mulloy,R,19131122.0,USA
Pancho,Segura,R,19210620.0,ECU
Frank,Sedgman,R,19271002.0,AUS
Giuseppe,Merlo,R,19271011.0,ITA
Richard Pancho,Gonzales,R,19280509.0,USA
Grant,Golden,R,19290821.0,USA
Abe,Segal,L,19301023.0,RSA
Kurt,Nielsen,R,19301119.0,DEN
Istvan,Gulyas,R,19311014.0,HUN
Luis,Ayala,R,19320918.0,CHI
Torben,Ulrich,L,19321004.0,DEN
Nicola,Pietrangeli,R,19330911.0,ITA
Neale,Fraser,L,19331003.0,AUS
Trevor,Fancutt,R,19340714.0,RSA
Sammy,Giammalva,R,19340801.0,USA
Ken,Rosewall,R,19341102.0,AUS
Mal,Anderson,R,19350303.0,AUS
Barry,Mackay,R,19350831.0,USA
Wieslaw,Gasiorek,R,19360113.0,POL
Alejandro,Olmedo,R,19360324.0,PER
Ashley,Cooper,R,19360915.0,AUS
Roy,Emerson,R,19361103.0,AUS
Ramanathan,Krishnan,R,19370411.0,IND
Jan Eric,Lundquist,R,19370414.0,SWE
Barry,Phillips Moore,R,19370709.0,AUS
Andres,Gimeno,R,19370803.0,ESP
Gene,Scott,R,19371228.0,USA
Manuel,Santana,R,19380510.0,ESP
Rod,Laver,L,19380809.0,AUS
Fred,Stolle,R,19381008.0,AUS
Dimitri,Sturdza,R,19381110.0,SUI
Patricio,Rodriguez Chi,R,19381220.0,CHI
Wilhelm,Bungert,R,19390401.0,GER
Christian,Kuhnke,R,19390413.0,GER
Ion,Tiriac,R,19390509.0,ROU
Rudy,Hernando,R,19390610.0,USA
Nikola,Pilic,L,19390827.0,CRO
Jaime,Pinto Bravo,R,19391009.0,CHI
Boro,Jovanovic,R,19391021.0,CRO
Bob,Hewitt,R,19400112.0,RSA
Ned,Neely,R,19400114.0,USA
Ryoichi,Mori,R,19400114.0,JPN
Zdenek,Slizek,R,19400219.0,CZE
Sergei,Likhachev,R,19400320.0,RUS
John,Paish,L,19400323.0,GBR
Larry,Nagler,R,19400701.0,USA
Bob,Carmichael,R,19400704.0,AUS
Earl Butch,Buchholz,R,19400916.0,USA
Jim,Mcmanus,L,19400916.0,USA
Martin,Mulligan,R,19401018.0,AUS
Premjit,Lall,R,19401020.0,IND
Keishiro,Yanagi,R,19410224.0,JPN
Colin,Stubs,R,19410227.0,AUS
Jose,Mandarino,R,19410326.0,BRA
Cliff,Drysdale,R,19410526.0,RSA
Harald,Elschenbroich,R,19410619.0,GER
Pierre,Barthes,R,19410913.0,FRA
Roger,Taylor,L,19411014.0,GBR
Isao,Watanabe,R,19411123.0,JPN
Marty,Riessen,R,19411204.0,USA
Tom,Edlefsen,R,19411212.0,USA
Francois,Jauffret,R,19420209.0,FRA
William,Higgins,R,19420402.0,USA
Juan,Gisbert,R,19420405.0,ESP
Terry,Ryan,R,19420427.0,RSA
Frank,Froehling,R,19420519.0,USA
Frew,Mcmillan,R,19420520.0,RSA
Herb,Fitzgibbon,R,19420714.0,USA
Dennis,Ralston,R,19420727.0,USA
Jan,Kukal,R,19420913.0,CZE
Jean Claude,Barclay,R,19421230.0,FRA
Bailey,Brown,R,19430615.0,USA
Mark,Cox,L,19430705.0,GBR
Arthur,Ashe,R,19430710.0,USA
Owen,Davidson,L,19431004.0,AUS
Milan,Holecek,R,19431023.0,CZE
Daniel,Contet,R,19431103.0,FRA
Clark,Graebner,R,19431104.0,USA
Bill,Bowrey,R,19431225.0,AUS
Szabolcz,Baranyi,R,19440131.0,HUN
Charlie,Pasarell,R,19440212.0,USA
Roger,Dowdeswell,R,19440216.0,ZIM
Nicola,Spear,R,19440222.0,SRB
Tom,Okker,R,19440222.0,NED
Hans Jaochim,Plotz,R,19440226.0,GER
Frantisek,Pala,L,19440328.0,CZE
John,Newcombe,R,19440523.0,AUS
Patricio,Cornejo,R,19440606.0,CHI
Patrice,Beust,R,19440903.0,FRA
Dick,Crealy,R,19440918.0,AUS
Colin,Dibley,R,19440919.0,AUS
Alex,Metreveli,R,19441102.0,RUS
William,Brown,R,19450114.0,USA
Jim,Osborne,R,19450201.0,USA
Tony,Bardsley,R,19450209.0,CAN
Peter,Burwash,R,19450210.0,CAN
Nicholas,Kalogeropoulos,R,19450218.0,GRE
Ove Nils,Bengtson,R,19450405.0,SWE
Thomaz,Koch,L,19450511.0,BRA
Tony,Roche,L,19450517.0,AUS
Mike,Belkin,R,19450629.0,CAN
Joaquin Loyo,Mayo,R,19450816.0,MEX
Peter,Curtis,R,19450829.0,GBR
D Richard,Russell,R,19450908.0,JAM
Allan,Stone,R,19451014.0,AUS
