Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final
1968,Ken Rosewall,2, AUS,Rod Laver,1, AUS,"6–3, 6–1, 2–6, 6–2"
1969,Rod Laver,1, AUS,Ken Rosewall,4, AUS,"6–4, 6–3, 6–4"
1970,Jan Kodeš,7, TCH,Željko Franulović,5, YUG,"6–2, 6–4, 6–0"
1971,Jan Kodeš,1, TCH,Ilie Năstase,3, ROU,"8–6, 6–2, 2–6, 7–5"
1972,Andrés Gimeno,6, ESP,Patrick Proisy,9, FRA,"4–6, 6–3, 6–1, 6–1"
1973,Ilie Năstase,2, ROU,Nikola Pilić,0, YUG,"6–3, 6–3, 6–0"
1974,Björn Borg,3, SWE,Manuel Orantes,14, ESP,"2–6, 6–7(1–7), 6–0, 6–1, 6–1"
1975,Björn Borg,1, SWE,Guillermo Vilas,4, ARG,"6–2, 6–3, 6–4"
1976,Adriano Panatta,8, ITA,Harold Solomon,7, USA,"6–1, 6–4, 4–6, 7–6(7–3)"
1977,Guillermo Vilas,3, ARG,Brian Gottfried,5, USA,"6–0, 6–3, 6–0"
1978,Björn Borg,1, SWE,Guillermo Vilas,2, ARG,"6–1, 6–1, 6–3"
1979,Björn Borg,1, SWE,Víctor Pecci,0, PAR,"6–3, 6–1, 6–7(6–8), 6–4"
1980,Björn Borg,1, SWE,Vitas Gerulaitis,5, USA,"6–4, 6–1, 6–2"
1981,Björn Borg,1, SWE,Ivan Lendl,5, TCH,"6–1, 4–6, 6–2, 3–6, 6–1"
1982,Mats Wilander,0, SWE,Guillermo Vilas,3, ARG,"1–6, 7–6(8–6), 6–0, 6–4"
1983,Yannick Noah,6, FRA,Mats Wilander,5, SWE,"6–2, 7–5, 7–6(7–3)"
1984,Ivan Lendl,2, TCH,John McEnroe,1, USA,"3–6, 2–6, 6–4, 7–5, 7–5"
1985,Mats Wilander,4, SWE,Ivan Lendl,2, TCH,"3–6, 6–4, 6–2, 6–2"
1986,Ivan Lendl,1, TCH,Mikael Pernfors,0, SWE,"6–3, 6–2, 6–4"
1987,Ivan Lendl,1, TCH,Mats Wilander,4, SWE,"7–5, 6–2, 3–6, 7–6(7–3)"
1988,Mats Wilander,3, SWE,Henri Leconte,1, FRA,"7–5, 6–2, 6–1"
1989,Michael Chang,15, USA,Stefan Edberg,3, SWE,"6–1, 3–6, 4–6, 6–4, 6–2"
1990,Andrés Gómez,4, ECU,Andre Agassi,3, USA,"6–3, 2–6, 6–4, 6–4"
1991,Jim Courier,9, USA,Andre Agassi,4, USA,"3–6, 6–4, 2–6, 6–1, 6–4"
1992,Jim Courier,1, USA,Petr Korda,7, TCH,"7–5, 6–2, 6–1"
1993,Sergi Bruguera,10,ESP,Jim Courier,2,USA,"6–4, 2–6, 6–2, 3–6, 6–3"
1994,Sergi Bruguera,6,ESP,Alberto Berasategui,0,ESP,"6–3, 7–5, 2–6, 6–1"
1995,Thomas Muster,5,AUT,Michael Chang,6,USA,"7–5, 6–2, 6–4"
1996,Yevgeny Kafelnikov,6,RUS,Michael Stich,15,GER,"7–6(7–4), 7–5, 7–6(7–4)"
1997,Gustavo Kuerten,0,BRA,Sergi Bruguera,16,ESP,"6–3, 6–4, 6–2"
1998,Carlos Moyá,12,ESP,Àlex Corretja,14,ESP,"6–3, 7–5, 6–3"
1999,Andre Agassi,13,USA,Andrei Medvedev,0,UKR,"1–6, 2–6, 6–4, 6–3, 6–4"
2000,Gustavo Kuerten,5,BRA,Magnus Norman,3,SWE,"6–2, 6–3, 2–6, 7–6(8–6)"
2001,Gustavo Kuerten,1,BRA,Àlex Corretja,13,ESP,"6–7(3–7), 7–5, 6–2, 6–0"
2002,Albert Costa,20,ESP,Juan Carlos Ferrero,11,ESP,"6–1, 6–0, 4–6, 6–3"
2003,Juan Carlos Ferrero,3,ESP,Martin Verkerk,0,NED,"6–1, 6–3, 6–2"
2004,Gastón Gaudio,0,ARG,Guillermo Coria,3,ARG,"0–6, 3–6, 6–4, 6–1, 8–6"
