"Complex_Name","Complex_Type","Facility_Name","Facility_Type","Bookable_Item","Assessment_No","F8","Number","Road_Name","Locality","Post_Code","Contact_Name","Contact_Number","Contact_Email","Home_Clubs","Hours_of_Operation","Description","Amenities","Hire_Agreements","Availability","Facebook_Page","Capacity","LAT","LONG"
"Mannibadar Tennis Reserve","Recreation Reserve","Mannibadar Tennis Reserve Tennis Courts","Tennis Court","Mannibadar Tennis Reserve Tennis Court 1","41400036","",1459,"Rokewood-Skipton Road","Mannibadar",3360,"Ken Sharpe","0438 154 193","khsharpe@bigpond.com","","","Number of courts: 2
Surface: Asphalt
Public Access: Yes
Active club: Mannibadar Tennis Club","","","","","",-37.760717,143.497898
"Mannibadar Tennis Reserve","Recreation Reserve","Mannibadar Tennis Reserve Tennis Courts","Tennis Court","Mannibadar Tennis Reserve Tennis Court 2","41400036","",1459,"Rokewood-Skipton Road","Mannibadar",3360,"Ken Sharpe","0438 154 193","khsharpe@bigpond.com","","","Number of courts: 2
Surface: Asphalt
Public Access: Yes
Active club: Mannibadar Tennis Club","","","","","",-37.760717,143.497898
"Cape Clear Recreation Reserve","Recreation Reserve","Cape Clear Recreation Reserve Tennis Court","Tennis Court","Cape Clear Recreation Reserve Tennis Court","91000683","",0,"Recreation Road","Cape Clear",3351,"Craig Cook","0400 477 493","vk3cmc@bigpond.com.au","","","Number of courts: 1
Surface: Asphalt
Public Access: Yes
Active club: No","","","","","",-37.791818,143.611632
"Haddon Recreation Reserve","Recreation Reserve","Haddon Recreation Reserve Tennis Courts","Tennis Court","Haddon Recreation Reserve Tennis Court 1","66116405","",396,"Sago Hill Road","Haddon",3351,"Peter Luke","0410 524 995","luke.peter.r@edumail.vic.gov.au","","","Number of courts: 4
Surface: Asphalt
Public Access: Yes
Active club: Haddon Tennis Club","","","","","",-37.58812,143.722213
"Haddon Recreation Reserve","Recreation Reserve","Haddon Recreation Reserve Tennis Courts","Tennis Court","Haddon Recreation Reserve Tennis Court 2","66116405","",396,"Sago Hill Road","Haddon",3351,"Peter Luke","0410 524 995","luke.peter.r@edumail.vic.gov.au","","","Number of courts: 4
Surface: Asphalt
Public Access: Yes
Active club: Haddon Tennis Club","","","","","",-37.58812,143.722213
"Haddon Recreation Reserve","Recreation Reserve","Haddon Recreation Reserve Tennis Courts","Tennis Court","Haddon Recreation Reserve Tennis Court 3","66116405","",396,"Sago Hill Road","Haddon",3351,"Peter Luke","0410 524 995","luke.peter.r@edumail.vic.gov.au","","","Number of courts: 4
Surface: Asphalt
Public Access: Yes
Active club: Haddon Tennis Club","","","","","",-37.58812,143.722213
"Haddon Recreation Reserve","Recreation Reserve","Haddon Recreation Reserve Tennis Courts","Tennis Court","Haddon Recreation Reserve Tennis Court 4","66116405","",396,"Sago Hill Road","Haddon",3351,"Peter Luke","0410 524 995","luke.peter.r@edumail.vic.gov.au","","","Number of courts: 4
Surface: Asphalt
Public Access: Yes
Active club: Haddon Tennis Club","","","","","",-37.58812,143.722213
"Ross Creek Recreation Reserve","Recreation Reserve","Ross Creek Recreation Reserve Tennis Courts","Tennis Court","Ross Creek Recreation Reserve Tennis Court 1","41400035","",655,"Sebastopol-Smythesdale Road","Ross Creek",3351,"Shayne Wren","0417 110 250","shaynewren@gmail.com","","","Number of courts: 4
Surface: Plexipave
Public Access: Yes
Active club: Ross Creek Tennis Club","","","","","",-37.632091,143.758713
"Ross Creek Recreation Reserve","Recreation Reserve","Ross Creek Recreation Reserve Tennis Courts","Tennis Court","Ross Creek Recreation Reserve Tennis Court 2","41400035","",655,"Sebastopol-Smythesdale Road","Ross Creek",3351,"Shayne Wren","0417 110 250","shaynewren@gmail.com","","","Number of courts: 4
Surface: Plexipave
Public Access: Yes
Active club: Ross Creek Tennis Club","","","","","",-37.632091,143.758713
"Ross Creek Recreation Reserve","Recreation Reserve","Ross Creek Recreation Reserve Tennis Courts","Tennis Court","Ross Creek Recreation Reserve Tennis Court 3","41400035","",655,"Sebastopol-Smythesdale Road","Ross Creek",3351,"Shayne Wren","0417 110 250","shaynewren@gmail.com","","","Number of courts: 4
Surface: Plexipave
Public Access: Yes
Active club: Ross Creek Tennis Club","","","","","",-37.632091,143.758713
"Ross Creek Recreation Reserve","Recreation Reserve","Ross Creek Recreation Reserve Tennis Courts","Tennis Court","Ross Creek Recreation Reserve Tennis Court 4","41400035","",655,"Sebastopol-Smythesdale Road","Ross Creek",3351,"Shayne Wren","0417 110 250","shaynewren@gmail.com","","","Number of courts: 4
Surface: Plexipave
Public Access: Yes
Active club: Ross Creek Tennis Club","","","","","",-37.632091,143.758713
"Napoleons Recreation Reserve","Recreation Reserve","Napoleons Recreation Reserve Tennis Courts","Tennis Court","Napoleons Recreation Reserve Tennis Court 1","54002342","",0,"Colac-Ballarat Road","Napoleons",3352,"Veronica Black","0417 560 303","paulhazlett@bigpond.com","","","Number of courts: 6
Surface: Plexipave
Public Access: Yes
Active club: Napoleons Tennis Club","","","","","",-37.680147,143.825216
"Napoleons Recreation Reserve","Recreation Reserve","Napoleons Recreation Reserve Tennis Courts","Tennis Court","Napoleons Recreation Reserve Tennis Court 2","54002342","",0,"Colac-Ballarat Road","Napoleons",3352,"Veronica Black","0417 560 303","paulhazlett@bigpond.com","","","Number of courts: 6
Surface: Plexipave
Public Access: Yes
Active club: Napoleons Tennis Club","","","","","",-37.680147,143.825216
"Napoleons Recreation Reserve","Recreation Reserve","Napoleons Recreation Reserve Tennis Courts","Tennis Court","Napoleons Recreation Reserve Tennis Court 3","54002342","",0,"Colac-Ballarat Road","Napoleons",3352,"Veronica Black","0417 560 303","paulhazlett@bigpond.com","","","Number of courts: 6
Surface: Plexipave
Public Access: Yes
Active club: Napoleons Tennis Club","","","","","",-37.680147,143.825216
"Napoleons Recreation Reserve","Recreation Reserve","Napoleons Recreation Reserve Tennis Courts","Tennis Court","Napoleons Recreation Reserve Tennis Court 4","54002342","",0,"Colac-Ballarat Road","Napoleons",3352,"Veronica Black","0417 560 303","paulhazlett@bigpond.com","","","Number of courts: 6
Surface: Plexipave
Public Access: Yes
Active club: Napoleons Tennis Club","","","","","",-37.680147,143.825216
