,first_name,last_name,flag_code,residence,birthplace,birthdate,birth_year,turned_pro,weight_kg,height_cm,handedness,backhand
0,Ricardo,Acuna,CHI,"Jupiter, FL, USA","Santiago, Chile",19580113,1958.0,0.0,68.0,175.0,0,0
1,Sadiq,Abdullahi,NGR,0,0,19600202,1960.0,0.0,0.0,0.0,0,0
2,Nelson,Aerts,BRA,0,"Cachoeira Do Sul, Brazil",19630425,1963.0,0.0,75.0,188.0,0,0
3,Egan,Adams,USA,"Palmetto, FL, USA","Miami Beach, FL, USA",19590615,1959.0,0.0,73.0,178.0,0,0
4,Ronald,Agenor,USA,"Beverly Hills, California, USA","Rabat, Morocco",19641113,1964.0,1983.0,82.0,180.0,0,0
5,Juan,Aguilera,ESP,0,"Barcelona, Spain",19620322,1962.0,0.0,68.0,183.0,0,0
6,Marc,Albert,NED,0,0,0,0.0,0.0,0.0,0.0,0,0
7,Marco,Alciati,ITA,0,0,0,0.0,0.0,0.0,0.0,0,0
8,Richard,Akel,USA,0,"Little Rock, AR, USA",19620212,1962.0,0.0,0.0,0.0,0,0
9,John,Alexander,AUS,0,"Sydney, NSW, Australia",19510704,1951.0,0.0,82.0,191.0,0,0
10,Leighton,Alfred,GBR,0,"Wales, Great Britain",19620827,1962.0,0.0,73.0,180.0,0,0
11,Trevor,Allan,AUS,0,"Maidland, Australia",19550817,1955.0,0.0,77.0,178.0,0,0
12,Mehl,Ampon,USA,0,"Manila, Phillipines",19561130,1956.0,0.0,0.0,0.0,0,0
13,Christer,Allgardh,SWE,"Vasteras, Sweden","Boras, Sweden",19670220,1967.0,1983.0,77.0,191.0,0,0
14,Anand,Amritraj,IND,0,"Madras, India",19520320,1952.0,0.0,77.0,185.0,0,0
15,Vijay,Amritraj,IND,0,"Madras, India",19531214,1953.0,0.0,86.0,193.0,0,0
16,Juan Carlos,Andrade,ESP,0,0,19570222,1957.0,0.0,0.0,0.0,0,0
17,Andy,Andrews,USA,0,"Raleigh, NC, U.S.A.",19590101,1959.0,0.0,82.0,185.0,0,0
18,Matt,Anger,USA,"Clyde Hill, WA","Walnut Creek, CA",19630620,1963.0,1984.0,77.0,188.0,0,0
19,Paul,Annacone,USA,"Topanga, CA, USA","Southampton, NY, USA",19630320,1963.0,1984.0,79.0,185.0,0,0
20,Alex,Antonitsch,AUT,"Vienna, Austria","Villach, Austria",19660208,1966.0,1988.0,85.0,188.0,0,0
21,Corrado,Aprili,ITA,0,"Verona, Italy",19641113,1964.0,0.0,80.0,191.0,0,0
22,Roberto,Arguello,ARG,0,"Rosario, Argentina",19630512,1963.0,0.0,66.0,173.0,0,0
23,Jimmy,Arias,USA,"Buffalo, NY","Buffalo, NY",19640816,1964.0,1980.0,70.0,175.0,0,0
24,Marco,Armellini,ITA,0,"Udine, Italy",19600817,1960.0,0.0,85.0,188.0,0,0
25,Jordi,Arrese,ESP,"Barcelona, Spain","Barcelona, Spain",19640829,1964.0,1982.0,64.0,175.0,0,0
26,Pablo,Arraya,PER,"Lima, Peru","Cordoba, Argentina",19611021,1961.0,1980.0,73.0,180.0,0,0
27,Edoardo,Artaldi,ITA,0,0,0,0.0,0.0,0.0,0.0,0,0
28,Juan,Avendano,ESP,0,"Luanco, Spain",19610129,1961.0,0.0,73.0,178.0,0,0
29,Roberto,Azar,ARG,"Buenos Aires, Argentina","Lincoln, Argentina",19660321,1966.0,1984.0,77.0,185.0,0,0
30,Ricardo,Acioly,BRA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",19640204,1964.0,1986.0,82.0,180.0,0,0
31,Aniceto,Alvarez,ESP,0,0,0,0.0,0.0,0.0,0.0,0,0
32,Victor,Amaya,USA,0,"Denver, CO",19540702,1954.0,0.0,0.0,201.0,0,0
33,Juan Carlos,Ayala,CHI,0,0,19610618,1961.0,0.0,0.0,0.0,0,0
34,M.,Arenzon,BRA,0,0,0,0.0,0.0,0.0,0.0,0,0
35,John,Austin,USA,"Scottsdale, AZ","Long Beach, CA",19570731,1957.0,0.0,88.0,193.0,0,0
36,Terry,Addison,AUS,0,"Wondai, QLDS, Australia",19460111,1946.0,0.0,77.0,180.0,0,0
37,Elio Lito,Alvarez,ARG,0,0,19471205,1947.0,0.0,0.0,0.0,0,0
38,George,Amaya,USA,"Atlanta, GA, USA","Weymouth, MA, USA",19500212,1950.0,1975.0,73.0,173.0,0,0
39,Ashok,Amritraj,IND,0,"Madras, India",19570222,1957.0,0.0,0.0,0.0,0,0
40,Mal,Anderson,AUS,0,"Theodore, QLDS, Australia",19350303,1935.0,0.0,0.0,0.0,0,0
41,Jorge,Andrew,VEN,"Lexington, SC, U.S.A.","Caracas, Venezuela",19511102,1951.0,0.0,88.0,180.0,Right-Handed,One-Handed Backhand
42,Arthur,Ashe,USA,0,"Richmond, VA",19430710,1943.0,1969.0,73.0,185.0,Right-Handed,One-Handed Backhand
43,John,Andrews,USA,0,"Houston, TX, USA",19520205,1952.0,0.0,0.0,0.0,0,0
44,Guillermo,Aubone,ARG,0,"Buenos Aires, Argentina",19540608,1954.0,0.0,0.0,0.0,0,0
45,Jeff,Austin,USA,0,"Rolling Hills, CA, USA",19510705,1951.0,0.0,0.0,0.0,0,0
46,Pieter,Aldrich,RSA,"Vereeniging, South Africa","Johannesburg, South Africa",19650907,1965.0,1987.0,80.0,180.0,0,0
47,Tim,Anderson,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
48,Orlando,Agudelo,COL,0,0,0,0.0,0.0,0.0,0.0,0,0
49,Luis,Ayala,CHI,0,Santiago,19320918,1932.0,0.0,0.0,0.0,0,0
50,Birger,Andersson,SWE,0,0,19510326,1951.0,0.0,0.0,0.0,0,0
51,Rich,Andrews,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
52,Gabriel,Auroux,ARG,0,0,0,0.0,0.0,0.0,0.0,0,0
53,Andre,Agassi,USA,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",19700429,1970.0,1986.0,80.0,180.0,Right-Handed,Two-Handed Backhand
54,Adrian,Andreev,BUL,0,0,20010512,2001.0,0.0,0.0,0.0,0,0
55,Luis Alberto,Ayala,CHI,0,0,19591021,1959.0,0.0,0.0,0.0,0,0
56,Kehinde,Ajayi,NGR,0,0,0,0.0,0.0,0.0,0.0,0,0
