"Year" "Aces" "Double_Faults" "Fir_Ser_Percent" "Fir_Ser_Pts_Percent" "Sec_Ser_Pts_Percent" "Break_Pts_Faced" "Break_Save_Percent" "Serve_Games" "Ser_Game_Won_Percent" "Ser_Pts_Won_Percent" "Fir_Ret_Pts_Percent" "Sec_Ret_Pts_Percent" "Break_Oppor" "Break_Convert_Percent" "Return_Games" "Ret_Games_Percent" "Ret_Pts_Percent" "Total_Pts_Percent" "Titles" "Ranking_EOY" "Prize_Money" "Win_Percent"
1998 24 14 56 71 50 28 61 46 76 62 28 51 28 36 46 22 37 49 0 301 26370 40
1999 125 92 58 70 49 180 59 304 76 61 29 47 158 39 309 20 36 49 0 64 200986 43.3
2000 405 203 59 72 52 376 65 730 82 64 27 47 343 41 727 19 36 50 0 29 468974 54.5
2001 527 203 60 74 53 456 67 901 83 66 30 50 536 39 892 23 38 52 1 13 773591 70
2002 504 197 60 76 54 378 66 906 86 67 31 50 520 43 894 25 39 53 3 6 1837097 72.5
2003 690 269 60 78 59 407 66 1082 87 71 40 56 756 41 1055 29 46 58 7 2 3877090 82.1
2004 563 156 62 78 58 285 73 925 92 70 35 52 653 41 886 30 41 55 11 1 6337660 92.5
2005 599 152 63 76 59 327 64 1093 89 70 35 52 733 44 1054 31 42 55 11 1 6110468 95.3
2006 656 118 63 77 59 399 70 1229 90 70 35 54 875 43 1190 32 42 56 12 1 8333585 94.8
2007 597 86 62 77 59 308 66 971 89 70 34 52 662 41 940 29 41 55 8 1 10111510 88.3
2008 695 77 64 77 58 350 68 1033 89 70 32 53 657 41 1004 27 40 55 4 2 5883079 81.5
2009 657 134 62 79 56 320 69 1009 90 71 31 51 582 41 980 24 38 54 4 1 8761806 83.6
2010 658 110 62 78 57 331 68 980 89 70 34 51 631 41 951 27 40 55 5 2 7685303 83.3
2011 504 98 64 79 58 267 65 904 90 71 33 51 593 41 877 28 40 55 4 3 6320726 84.2
2012 665 120 63 78 60 299 69 1042 91 71 31 51 630 42 1020 26 39 54 6 2 8584843 85.5
2013 399 104 63 76 55 304 65 793 87 69 33 51 515 39 783 26 40 54 1 6 3193912 72.6
2014 627 117 64 79 58 321 71 1016 91 71 32 51 660 39 998 26 40 55 5 2 9343989 85.9
2015 597 125 65 80 57 228 68 890 92 72 33 50 585 41 875 27 40 55 6 3 8682893 85.1
