Player Name,Ranking,Link
Novak Djokovic,1,http://www.atpworldtour.com/en/players/novak-djokovic/d643/overview
Rafael Nadal,2,http://www.atpworldtour.com/en/players/rafael-nadal/n409/overview
Roger Federer,3,http://www.atpworldtour.com/en/players/roger-federer/f324/overview
Dominic Thiem,4,https://www.atptour.com/en/players/dominic-thiem/tb69/overview
Daniil Medvedev,5,http://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview
Alexander Zverev,6,https://www.atptour.com/en/players/alexander-zverev/z355/overview
Kei Nishikori,7,http://www.atpworldtour.com/en/players/kei-nishikori/n552/overview
Stefanos Tsitsipas,8,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview
Karen Khachanov,9,http://www.atpworldtour.com/en/players/karen-khachanov/ke29/overview
Roberto Bautista Agut,10,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview
Fabio Fognini,11,http://www.atpworldtour.com/en/players/fabio-fognini/f510/overview
Borna Coric,12,http://www.atpworldtour.com/en/players/borna-coric/cg80/overview
Gael Monfils,13,http://www.atpworldtour.com/en/players/gael-monfils/mc65/overview
John Isner,14,http://www.atpworldtour.com/en/players/john-isner/i186/overview
David Goffin,15,http://www.atpworldtour.com/en/players/david-goffin/gb88/overview
Juan Martin del Potro,16,http://www.atpworldtour.com/en/players/juan-martin-del-potro/d683/overview
Kevin Anderson,17,http://www.atpworldtour.com/en/players/kevin-anderson/a678/overview
Nikoloz Basilashvili,18,http://www.atpworldtour.com/en/players/nikoloz-basilashvili/bg23/overview
Felix Auger-Aliassime,19,http://www.atpworldtour.com/en/players/felix-auger-aliassime/ag37/overview
Guido Pella,20,http://www.atpworldtour.com/en/players/guido-pella/pc11/overview
Diego Schwartzman,21,https://www.atptour.com/en/players/diego-schwartzman/sm37/overview
Milos Raonic,22,https://www.atptour.com/en/players/milos-raonic/r975/overview
Marin Cilic,23,http://www.atpworldtour.com/en/players/marin-cilic/c977/overview
Stan Wawrinka,24,https://www.atptour.com/en/players/stan-wawrinka/w367/overview
Matteo Berrettini,25,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview
Lucas Pouille,26,http://www.atpworldtour.com/en/players/lucas-pouille/pf39/overview
Taylor Fritz,27,http://www.atpworldtour.com/en/players/taylor-fritz/fb98/overview
Dusan Lajovic,28,http://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview
