rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
1,Novak Djokovic,Serbia,SRB,true,1987-05-22,1102,595,241,266,272,58,214,1,45,5,92,8,40,61,40,56,51,26,94,9,8,20,2,24,7,0,40,0,71,98,404,1084-210,2629,2016-02-01,83.8%
2,Roger Federer,Switzerland,SUI,false,1981-08-08,924,566,200,158,246,65,172,2,80,1,83,8,31,60,18,32,40,18,55,3,3,4,3,20,6,0,28,0,54,103,310,1245-275,2550,2007-03-05,81.9%
3,Rafael Nadal,Spain,ESP,false,1986-06-03,885,526,186,173,233,21,201,3,62,6,86,8,21,50,21,38,40,23,50,0,6,7,9,22,0,0,36,1,59,92,209,1066-219,2552,2013-09-09,83.0%
4,Jimmy Connors,United States,USA,false,1952-09-02,616,402,151,63,134,31,121,0,115,1,73,8,27,37,6,5,24,12,19,0,0,2,1,8,1,2,20,0,31,109,268,1275-285,2521,1978-10-29,81.7%
5,Ivan Lendl,United States,USA,false,1960-03-07,604,395,141,68,132,63,101,0,98,1,55,8,27,39,12,6,27,18,14,0,1,2,0,8,5,2,18,0,33,94,270,1069-242,2518,1986-03-24,81.5%
6,Pete Sampras,United States,USA,false,1971-08-12,522,316,140,66,144,52,72,0,45,3,58,8,29,42,3,11,21,19,14,0,0,1,0,14,5,2,11,0,32,64,286,762-222,2407,1994-05-16,77.4%
7,John McEnroe,United States,USA,false,1959-02-16,512,321,128,63,95,53,86,0,77,10,48,8,17,31,24,5,24,14,16,2,0,2,0,7,3,5,17,0,32,77,170,881-198,2583,1985-04-08,81.6%
8,Bjorn Borg,Sweden,SWE,false,1956-06-06,480,254,132,94,114,29,53,0,56,2,37,8,11,33,43,12,21,25,17,0,0,17,2,11,2,1,11,0,25,66,109,650-138,2622,1980-07-07,82.5%
9,Andre Agassi,United States,USA,false,1970-04-29,417,292,82,43,124,25,91,3,46,3,33,8,10,31,0,12,15,13,1,0,0,1,1,8,1,0,17,1,27,60,101,870-274,2376,1995-09-29,76.0%
10,Rod Laver,Australia,AUS,false,1938-08-09,389,202,101,86,45,10,84,0,61,2,35,8,22,28,8,21,17,19,19,5,0,5,0,5,0,2,18,0,25,72,219,571-145,2509,1969-09-10,79.7%
11,Boris Becker,Germany,GER,false,1967-11-22,368,267,61,40,85,50,77,0,49,6,27,8,1,23,2,2,17,16,5,0,0,0,0,6,3,2,12,0,23,49,12,713-214,2419,1989-11-06,76.9%
12,Stefan Edberg,Sweden,SWE,false,1966-01-19,328,243,62,23,91,24,62,4,54,8,33,8,7,14,0,3,14,5,1,0,0,0,0,6,1,0,6,1,14,42,72,804-271,2370,1990-11-19,74.8%
13,Andy Murray,United Kingdom,GBR,true,1987-05-15,313,228,55,30,85,17,82,6,36,2,26,8,4,15,2,0,16,11,2,0,1,0,0,3,1,0,14,2,20,46,41,732-249,2500,2016-11-21,74.6%
14,Mats Wilander,Sweden,SWE,false,1964-08-22,243,179,38,26,84,9,50,0,28,8,21,8,2,7,0,5,11,7,3,0,0,0,0,7,0,0,8,0,15,33,20,569-223,2371,1988-10-03,71.8%
15,Guillermo Vilas,Argentina,ARG,false,1952-08-17,242,191,32,19,63,19,34,0,74,1,18,5,0,7,2,1,8,7,3,0,0,0,0,4,1,0,3,0,8,62,0,943-291,2431,1977-12-05,76.4%
16,Ilie Nastase,Romania,ROU,false,1946-07-19,228,163,46,19,36,27,35,0,63,2,19,8,9,10,0,0,9,5,3,0,0,2,0,2,4,0,6,0,12,65,88,891-333,2363,1976-09-15,72.8%
17,Ken Rosewall,Australia,AUS,false,1934-11-02,220,159,40,21,60,12,46,0,41,0,15,8,3,14,0,1,10,7,3,0,0,0,0,4,0,2,7,0,13,40,26,540-193,2388,1968-06-10,73.7%
18,Arthur Ashe,United States,USA,false,1943-07-10,211,174,23,14,47,17,53,0,52,5,14,5,0,4,0,0,7,7,0,0,0,0,0,3,0,1,4,0,8,45,0,783-258,2354,1976-03-11,75.2%
19,John Newcombe,Australia,AUS,false,1944-05-23,210,160,35,15,62,8,44,0,44,2,18,8,1,8,0,2,9,4,0,0,0,0,0,5,0,1,6,0,12,41,8,564-224,2327,1971-08-17,71.6%
20,Lleyton Hewitt,Australia,AUS,false,1981-02-24,180,114,52,14,39,15,30,0,26,4,21,8,8,15,0,0,5,9,0,0,0,0,0,2,2,0,2,0,6,30,80,616-262,2295,2002-03-18,70.2%
