,first_name,last_name,hand,birth_date,country_code,age
0,Gardnar,Mulloy,R,1913-11-22,USA,111.0
1,Pancho,Segura,R,1921-06-20,ECU,103.0
2,Frank,Sedgman,R,1927-10-02,AUS,97.0
3,Giuseppe,Merlo,R,1927-10-11,ITA,97.0
4,Richard Pancho,Gonzales,R,1928-05-09,USA,96.0
5,Grant,Golden,R,1929-08-21,USA,95.0
6,Abe,Segal,L,1930-10-23,RSA,94.0
7,Kurt,Nielsen,R,1930-11-19,DEN,94.0
8,Istvan,Gulyas,R,1931-10-14,HUN,93.0
9,Luis,Ayala,R,1932-09-18,CHI,92.0
10,Torben,Ulrich,L,1932-10-04,DEN,92.0
11,Nicola,Pietrangeli,R,1933-09-11,ITA,91.0
12,Neale,Fraser,L,1933-10-03,AUS,91.0
13,Trevor,Fancutt,R,1934-07-14,RSA,90.0
14,Sammy,Giammalva,R,1934-08-01,USA,90.0
15,Ken,Rosewall,R,1934-11-02,AUS,90.0
16,Mal,Anderson,R,1935-03-03,AUS,89.0
17,Barry,Mackay,R,1935-08-31,USA,89.0
18,Wieslaw,Gasiorek,R,1936-01-13,POL,88.0
19,Alejandro,Olmedo,R,1936-03-24,PER,88.0
20,Ashley,Cooper,R,1936-09-15,AUS,88.0
21,Roy,Emerson,R,1936-11-03,AUS,88.0
22,Ramanathan,Krishnan,R,1937-04-11,IND,87.0
23,Jan Eric,Lundquist,R,1937-04-14,SWE,87.0
24,Barry,Phillips Moore,R,1937-07-09,AUS,87.0
25,Andres,Gimeno,R,1937-08-03,ESP,87.0
26,Gene,Scott,R,1937-12-28,USA,87.0
27,Manuel,Santana,R,1938-05-10,ESP,86.0
28,Rod,Laver,L,1938-08-09,AUS,86.0
29,Fred,Stolle,R,1938-10-08,AUS,86.0
30,Dimitri,Sturdza,R,1938-11-10,SUI,86.0
31,Patricio,Rodriguez Chi,R,1938-12-20,CHI,86.0
32,Wilhelm,Bungert,R,1939-04-01,GER,85.0
33,Christian,Kuhnke,R,1939-04-13,GER,85.0
34,Ion,Tiriac,R,1939-05-09,ROU,85.0
35,Rudy,Hernando,R,1939-06-10,USA,85.0
36,Nikola,Pilic,L,1939-08-27,CRO,85.0
37,Jaime,Pinto Bravo,R,1939-10-09,CHI,85.0
38,Boro,Jovanovic,R,1939-10-21,CRO,85.0
39,Bob,Hewitt,R,1940-01-12,RSA,84.0
40,Ned,Neely,R,1940-01-14,USA,84.0
41,Ryoichi,Mori,R,1940-01-14,JPN,84.0
42,Zdenek,Slizek,R,1940-02-19,CZE,84.0
43,Sergei,Likhachev,R,1940-03-20,RUS,84.0
44,John,Paish,L,1940-03-23,GBR,84.0
45,Larry,Nagler,R,1940-07-01,USA,84.0
46,Bob,Carmichael,R,1940-07-04,AUS,84.0
47,Earl Butch,Buchholz,R,1940-09-16,USA,84.0
48,Jim,Mcmanus,L,1940-09-16,USA,84.0
49,Martin,Mulligan,R,1940-10-18,AUS,84.0
50,Premjit,Lall,R,1940-10-20,IND,84.0
51,Keishiro,Yanagi,R,1941-02-24,JPN,83.0
52,Colin,Stubs,R,1941-02-27,AUS,83.0
53,Jose,Mandarino,R,1941-03-26,BRA,83.0
54,Cliff,Drysdale,R,1941-05-26,RSA,83.0
55,Harald,Elschenbroich,R,1941-06-19,GER,83.0
56,Pierre,Barthes,R,1941-09-13,FRA,83.0
57,Roger,Taylor,L,1941-10-14,GBR,83.0
58,Isao,Watanabe,R,1941-11-23,JPN,83.0
59,Marty,Riessen,R,1941-12-04,USA,83.0
60,Tom,Edlefsen,R,1941-12-12,USA,83.0
61,Francois,Jauffret,R,1942-02-09,FRA,82.0
62,William,Higgins,R,1942-04-02,USA,82.0
63,Juan,Gisbert,R,1942-04-05,ESP,82.0
64,Terry,Ryan,R,1942-04-27,RSA,82.0
65,Frank,Froehling,R,1942-05-19,USA,82.0
66,Frew,Mcmillan,R,1942-05-20,RSA,82.0
67,Herb,Fitzgibbon,R,1942-07-14,USA,82.0
68,Dennis,Ralston,R,1942-07-27,USA,82.0
69,Jan,Kukal,R,1942-09-13,CZE,82.0
70,Jean Claude,Barclay,R,1942-12-30,FRA,82.0
71,Bailey,Brown,R,1943-06-15,USA,81.0
72,Mark,Cox,L,1943-07-05,GBR,81.0
73,Arthur,Ashe,R,1943-07-10,USA,81.0
74,Owen,Davidson,L,1943-10-04,AUS,81.0
75,Milan,Holecek,R,1943-10-23,CZE,81.0
76,Daniel,Contet,R,1943-11-03,FRA,81.0
77,Clark,Graebner,R,1943-11-04,USA,81.0
78,Bill,Bowrey,R,1943-12-25,AUS,81.0
79,Szabolcz,Baranyi,R,1944-01-31,HUN,80.0
80,Charlie,Pasarell,R,1944-02-12,USA,80.0
81,Roger,Dowdeswell,R,1944-02-16,ZIM,80.0
82,Nicola,Spear,R,1944-02-22,SRB,80.0
83,Tom,Okker,R,1944-02-22,NED,80.0
84,Hans Jaochim,Plotz,R,1944-02-26,GER,80.0
85,Frantisek,Pala,L,1944-03-28,CZE,80.0
86,John,Newcombe,R,1944-05-23,AUS,80.0
87,Patricio,Cornejo,R,1944-06-06,CHI,80.0
88,Patrice,Beust,R,1944-09-03,FRA,80.0
89,Dick,Crealy,R,1944-09-18,AUS,80.0
90,Colin,Dibley,R,1944-09-19,AUS,80.0
91,Alex,Metreveli,R,1944-11-02,RUS,80.0
92,William,Brown,R,1945-01-14,USA,79.0
93,Jim,Osborne,R,1945-02-01,USA,79.0
