Unnamed: 0,Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Score1_Champion,Score2_Champion,Score3_Champion,Score1_Runner-up,Score2_Runner-up,Score3_Runner-up
0,1969,Rod Laver,1,AUS,Andrés Gimeno,9,ESP,"6–3, 6–4, 7–5",6.0,6.0,7.0,3.0,4.0,5.0
1,1970,Arthur Ashe,4,USA,Dick Crealy,12,AUS,"6–4, 9–7, 6–2",6.0,9.0,6.0,4.0,7.0,2.0
2,1971,Ken Rosewall,2,AUS,Arthur Ashe,3,USA,"6–1, 7–5, 6–3",6.0,7.0,6.0,1.0,5.0,3.0
3,1972,Ken Rosewall,2,AUS,Malcolm Anderson,8,AUS,"7–6, 6–3, 7–5",7.0,6.0,7.0,6.0,3.0,5.0
4,1973,John Newcombe,2,AUS,Onny Parun,12,NZL,"6–3, 6–7, 7–5",6.0,6.0,7.0,3.0,7.0,5.0
5,1974,Jimmy Connors,2,USA,Phil Dent,9,AUS,"7–6, 6–4, 4–6",7.0,6.0,4.0,6.0,4.0,6.0
6,1975,John Newcombe,2,AUS,Jimmy Connors,1,USA,"7–5, 3–6, 6–4",7.0,3.0,6.0,5.0,6.0,4.0
7,1976,Mark Edmondson,0,AUS,John Newcombe,2,AUS,"6–7, 6–3, 7–6",6.0,6.0,7.0,7.0,3.0,6.0
8,1977,Roscoe Tanner,2,USA,Guillermo Vilas,1,ARG,"6–3, 6–3, 6–3",6.0,6.0,6.0,3.0,3.0,3.0
9,1977,Vitas Gerulaitis,1,USA,John Lloyd,0,GBR,"6–3, 7–6, 5–7",6.0,7.0,5.0,3.0,6.0,7.0
10,1978,Guillermo Vilas,1,ARG,John Marks,0,AUS,"6–4, 6–4, 3–6",6.0,6.0,3.0,4.0,4.0,6.0
11,1979,Guillermo Vilas,1,ARG,John Sadri,6,USA,"7–6, 6–3, 6–2",7.0,6.0,6.0,6.0,3.0,2.0
12,1980,Brian Teacher,8,USA,Kim Warwick,14,AUS,"7–5, 7–6, 6–3",7.0,7.0,6.0,5.0,6.0,3.0
13,1981,Johan Kriek,4,RSA,Steve Denton,0,USA,"6–2, 7–6, 6–7",6.0,7.0,6.0,2.0,6.0,7.0
14,1982,Johan Kriek,1,USA,Steve Denton,2,USA,"6–3, 6–3, 6–2",6.0,6.0,6.0,3.0,3.0,2.0
15,1983,Mats Wilander,3,SWE,Ivan Lendl,1,TCH,"6–1, 6–4, 6–4",6.0,6.0,6.0,1.0,4.0,4.0
16,1984,Mats Wilander,2,SWE,Kevin Curren,9,RSA,"6–7, 6–4, 7–6",6.0,6.0,7.0,7.0,4.0,6.0
17,1985,Stefan Edberg,6,SWE,Mats Wilander,3,SWE,"6–4, 6–3, 6–3",6.0,6.0,6.0,4.0,3.0,3.0
18,1987,Stefan Edberg,4,SWE,Pat Cash,11,AUS,"6–3, 6–4, 3–6",6.0,6.0,3.0,3.0,4.0,6.0
