Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final
1968,Nancy Richey,5, USA,Ann Haydon Jones,2, GBR,"5–7, 6–4, 6–1"
1969,Margaret Court,1, AUS,Ann Haydon Jones,3, GBR,"6–1, 4–6, 6–3"
1970,Margaret Court,1, AUS,Helga Niessen,7, FRG,"6–2, 6–4"
1971,Evonne Goolagong,3, AUS,Helen Gourlay,0, AUS,"6–3, 7–5"
1972,Billie Jean King,3, USA,Evonne Goolagong,1, AUS,"6–3, 6–3"
1973,Margaret Court,1, AUS,Chris Evert,2, USA,"6–7(5–7), 7–6(8–6), 6–4"
1974,Chris Evert,1, USA,Olga Morozova,3, URS,"6–1, 6–2"
1975,Chris Evert,1, USA,Martina Navratilova,2, TCH,"2–6, 6–2, 6–1"
1976,Sue Barker,1, GBR,Renáta Tomanová,0, TCH,"6–2, 0–6, 6–2"
1977,Mima Jaušovec,1, YUG,Florența Mihai,0, ROU,"6–2, 6–7(5–7), 6–1"
1978,Virginia Ruzici,2, ROU,Mima Jaušovec,1, YUG,"6–2, 6–2"
1979,Chris Evert,1, USA,Wendy Turnbull,4, AUS,"6–2, 6–0"
1980,Chris Evert,1, USA,Virginia Ruzici,8, ROU,"6–0, 6–3"
1981,Hana Mandlíková,4, TCH,Sylvia Hanika,6, FRG,"6–2, 6–4"
1982,Martina Navratilova,2, USA,Andrea Jaeger,4, USA,"7–6(8–6), 6–1"
1983,Chris Evert,2, USA,Mima Jaušovec,0, YUG,"6–1, 6–2"
1984,Martina Navratilova,1, USA,Chris Evert,2, USA,"6–3, 6–1"
1985,Chris Evert,2, USA,Martina Navratilova,1, USA,"6–3, 6–7(4–7), 7–5"
1986,Chris Evert,2, USA,Martina Navratilova,1, USA,"2–6, 6–3, 6–3"
1987,Steffi Graf,2, FRG,Martina Navratilova,1, USA,"6–4, 4–6, 8–6"
1988,Steffi Graf,1, FRG,Natasha Zvereva,13, URS,"6–0, 6–0"
1989,Arantxa Sánchez Vicario,7, ESP,Steffi Graf,1, FRG,"7–6(8–6), 3–6, 7–5"
1990,Monica Seles,2, YUG,Steffi Graf,1, FRG,"7–6(8–6), 6–4"
1991,Monica Seles,1, YUG,Arantxa Sánchez Vicario,5, ESP,"6–3, 6–4"
1992,Monica Seles,1, YUG,Steffi Graf,2, GER,"6–2, 3–6, 10–8"
1993,Steffi Graf,1, GER,Mary Joe Fernández,5, USA,"4–6, 6–2, 6–4"
1994,Arantxa Sánchez Vicario,2, ESP,Mary Pierce,12, FRA,"6–4, 6–4"
1995,Steffi Graf,2, GER,Arantxa Sánchez Vicario,1, ESP,"7–5, 4–6, 6–0"
1996,Steffi Graf,1, GER,Arantxa Sánchez Vicario,4, ESP,"6–3, 6–7(4–7), 10–8"
1997,Iva Majoli,9, CRO,Martina Hingis,1, SUI,"6–4, 6–2"
1998,Arantxa Sánchez Vicario,4, ESP,Monica Seles,6, USA,"7–6(7–5), 0–6, 6–2"
1999,Steffi Graf,6, GER,Martina Hingis,1, SUI,"4–6, 7–5, 6–2"
2000,Mary Pierce,6, FRA,Conchita Martínez,5, ESP,"6–2, 7–5"
2001,Jennifer Capriati,4, USA,Kim Clijsters,12, BEL,"1–6, 6–4, 12–10"
2002,Serena Williams,3, USA,Venus Williams,2, USA,"7–5, 6–3"
2003,Justine Henin,4, BEL,Kim Clijsters,2, BEL,"6–0, 6–4"
2004,Anastasia Myskina,6, RUS,Elena Dementieva,9, RUS,"6–1, 6–2"
2005,Justine Henin,10, BEL,Mary Pierce,21, FRA,"6–1, 6–1"
2006,Justine Henin,5, BEL,Svetlana Kuznetsova,8, RUS,"6–4, 6–4"
2007,Justine Henin,1, BEL,Ana Ivanovic,7, SRB,"6–1, 6–2"
2008,Ana Ivanovic,2, SRB,Dinara Safina,13, RUS,"6–4, 6–3"
2009,Svetlana Kuznetsova,7, RUS,Dinara Safina,1, RUS,"6–4, 6–2"
2010,Francesca Schiavone,17, ITA,Samantha Stosur,7, AUS,"6–4, 7–6(7–2)"
2011,Li Na,6, CHN,Francesca Schiavone,5, ITA,"6–4, 7–6(7–0)"
2012,Maria Sharapova,2, RUS,Sara Errani,21, ITA,"6–3, 6–2"
2013,Serena Williams,1, USA,Maria Sharapova,2, RUS,"6–4, 6–4"
2014,Maria Sharapova,7, RUS,Simona Halep,4, ROU,"6–4, 6–7(5–7), 6–4"
2015,Serena Williams,1, USA,Lucie Šafářová,13, CZE,"6–3, 6–7(2–7), 6–2"
2016,Garbiñe Muguruza,4, ESP,Serena Williams,1, USA,"7–5, 6–4"
2017,Jeļena Ostapenko,0, LAT,Simona Halep,3, ROU,"4–6, 6–4, 6–3"
2018,Simona Halep,1,ROU,Sloane Stephens,10,USA,"3-6, 6-4, 6-1"
2019,Ashleigh Barty,8,AUS,Markéta Vondroušová,0,CZE,"6-1, 6-3"
2020,"Iga Świątek",0,"POL","Sofia Kenin",4,"USA","6-4, 6-1"
