"Year","Major","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1968,2,"Nancy Richey",5,"USA","Ann Haydon Jones",2,"GBR","5–7, 6–4, 6–1"
1968,3,"Billie Jean King",1,"USA","Judy Tegart",7,"AUS","9–7, 7–5"
1968,4,"Virginia Wade",6,"GBR","Billie Jean King",1,"USA","6–4, 6–2"
1969,1,"Margaret Court",2,"AUS","Billie Jean King",1,"USA","6–4, 6–1"
1969,2,"Margaret Court",1,"AUS","Ann Haydon Jones",3,"GBR","6–1, 4–6, 6–3"
1969,3,"Ann Jones",4,"GBR","Billie Jean King",2,"USA","3–6, 6–3, 6–2"
1969,4,"Margaret Court",2,"AUS","Nancy Richey",6,"USA","6–2, 6–2"
1970,1,"Margaret Court",1,"AUS","Kerry Melville",2,"AUS","6–1, 6–3"
1970,2,"Margaret Court",1,"AUS","Helga Niessen",7,"FRG","6–2, 6–4"
1970,3,"Margaret Court",1,"AUS","Billie Jean King",2,"USA","14–12, 11–9"
1970,4,"Margaret Court",1,"AUS","Rosemary Casals",2,"USA","6–2, 2–6, 6–1"
1971,1,"Margaret Court",1,"AUS","Evonne Goolagong",2,"AUS","2–6, 7–6(7–0), 7–5"
1971,2,"Evonne Goolagong",3,"AUS","Helen Gourlay",0,"AUS","6–3, 7–5"
1971,3,"Evonne Goolagong",3,"AUS","Margaret Court",1,"AUS","6–4, 6–1"
1971,4,"Billie Jean King",1,"USA","Rosemary Casals",2,"USA","6–4, 7–6"
1972,1,"Virginia Wade",2,"GBR","Evonne Goolagong",1,"AUS","6–4, 6–4"
1972,2,"Billie Jean King",3,"USA","Evonne Goolagong",1,"AUS","6–3, 6–3"
1972,3,"Billie Jean King",2,"USA","Evonne Goolagong",1,"AUS","6–3, 6–3"
1972,4,"Billie Jean King",1,"USA","Kerry Melville Reid",9,"AUS","6–3, 7–5"
1973,1,"Margaret Court",1,"AUS","Evonne Goolagong",2,"AUS","6–4, 7–5"
