Year,Major#,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Major
1968,2.0,Ken Rosewall,2,AUS,Rod Laver,1,AUS,"6–3, 6–1, 2–6, 6–2",
1968,3.0,Rod Laver,1,AUS,Tony Roche,15,AUS,"6–3, 6–4, 6–2",
1968,4.0,Arthur Ashe,5,USA,Tom Okker,8,NED,"14–12, 5–7, 6–3, 3–6, 6–3",
1969,1.0,Rod Laver,1,AUS,Andrés Gimeno,9,ESP,"6–3, 6–4, 7–5",
1969,2.0,Rod Laver,1,AUS,Ken Rosewall,4,AUS,"6–4, 6–3, 6–4",
1969,3.0,Rod Laver,1,AUS,John Newcombe,6, AUS,"6–4, 5–7, 6–4, 6–4",
1969,4.0,Rod Laver,1,AUS,Tony Roche,3,AUS,"7–9, 6–1, 6–2, 6–2",
1970,1.0,Arthur Ashe,4,USA,Dick Crealy,12,AUS,"6–4, 9–7, 6–2",
1970,2.0,Jan Kodeš,7,TCH,Željko Franulović,5,YUG,"6–2, 6–4, 6–0",
1970,3.0,John Newcombe,2,AUS,Ken Rosewall,5,AUS,"5–7, 6–3, 6–2, 3–6, 6–1",
1970,4.0,Ken Rosewall,3,AUS,Tony Roche,4,AUS,"2–6, 6–4, 7–6(5–2), 6–3",
1971,1.0,Ken Rosewall,2,AUS,Arthur Ashe,3,USA,"6–1, 7–5, 6–3",
1971,2.0,Jan Kodeš,1,TCH,Ilie Năstase,3,ROU,"8–6, 6–2, 2–6, 7–5",
1971,3.0,John Newcombe,2,AUS,Stan Smith,4,USA,"6–3, 5–7, 2–6, 6–4, 6–4",
1971,4.0,Stan Smith,2,USA,Jan Kodeš,0,TCH,"3–6, 6–3, 6–2, 7–6(5–3)",
1972,1.0,Ken Rosewall,2,AUS,Malcolm Anderson,8,AUS,"7–6(7–2), 6–3, 7–5",
1972,2.0,Andrés Gimeno,6,ESP,Patrick Proisy,9,FRA,"4–6, 6–3, 6–1, 6–1",
1972,3.0,Stan Smith,1,USA,Ilie Năstase,2,ROM,"4–6, 6–3, 6–3, 4–6, 7–5",
1972,4.0,Ilie Năstase,4,ROU,Arthur Ashe,6,USA,"3–6, 6–3, 6–7(1–5), 6–4, 6–3",
1973,1.0,John Newcombe,2,AUS,Onny Parun,12,NZL,"6–3, 6–7, 7–5, 6–1",
1973,2.0,Ilie Năstase,2,ROU,Nikola Pilić,0,YUG,"6–3, 6–3, 6–0",
1973,3.0,Jan Kodeš,2,TCH,Alex Metreveli,4,URS,"6–1, 9–8(7–5), 6–3",
1973,4.0,John Newcombe,10,AUS,Jan Kodeš,6,TCH,"6–4, 1–6, 4–6, 6–2, 6–3",
1974,1.0,Jimmy Connors,2,USA,Phil Dent,9,AUS,"7–6(9–7), 6–4, 4–6, 6–3",
1974,2.0,Björn Borg,3,SWE,Manuel Orantes,14,ESP,"2–6, 6–7(1–7), 6–0, 6–1, 6–1",
1974,3.0,Jimmy Connors,3,USA,Ken Rosewall,9,AUS,"6–1, 6–1, 6–4",
1974,4.0,Jimmy Connors,1,USA,Ken Rosewall,5,AUS,"6–1, 6–0, 6–1",
1975,1.0,John Newcombe,2,AUS,Jimmy Connors,1,USA,"7–5, 3–6, 6–4, 7–6(9–7)",
1975,2.0,Björn Borg,1,SWE,Guillermo Vilas,4,ARG,"6–2, 6–3, 6–4",
1975,3.0,Arthur Ashe,6,USA,Jimmy Connors,1,USA,"6–1, 6–1, 5–7, 6–4",
1975,4.0,Manuel Orantes,3,ESP,Jimmy Connors,1,USA,"6–4, 6–3, 6–3",
1976,1.0,Mark Edmondson,0,AUS,John Newcombe,2,AUS,"6–7, 6–3, 7–6, 6–1",
1976,2.0,Adriano Panatta,8,ITA,Harold Solomon,7,USA,"6–1, 6–4, 4–6, 7–6(7–3)",
